Time,Angle
0.033333333,8.106970655
0.066666667,-7.895765763
0.1,-21.5650961
0.133333333,-30.33107714
0.166666667,-33.24969119
0.2,-33.48104954
0.233333333,-34.16729482
0.266666667,-38.45783756
0.3,-46.08502275
0.333333333,-53.09838325
0.366666667,-60.61234005
0.4,-72.10981742
0.433333333,-90.91503998
0.466666667,-119.0932846
0.5,-138.4050701
0.533333333,-152.2142307
0.566666667,-161.4690609
0.6,-158.3715975
0.633333333,-154.3457101
0.666666667,-157.6694579
0.7,-162.5805334
0.733333333,-171.1205582
0.766666667,-175.4089591
0.8,-179.3267053
0.833333333,-176.1707331
0.866666667,-171.6514036
0.9,-171.481516
0.933333333,-171.1478437
0.966666667,-173.3038074
1,-181.7212991
1.033333333,-196.0314687
1.066666667,-210.776561
1.1,-223.4041588
1.133333333,-233.9881318
1.166666667,-240.0664885
1.2,-243.0399105
1.233333333,-246.9748893
1.266666667,-254.8679301
1.3,-270.4478904
1.333333333,-293.2845762
1.366666667,-307.6343718
1.4,-323.2402967
1.433333333,-335.54865
1.466666667,-339.1703717
1.5,-335.1347494
1.533333333,-335.1747059
1.566666667,-335.2578093
1.6,-335.6604599
1.633333333,-336.7336877
1.666666667,-338.0329086
1.7,-339.6819966
1.733333333,-341.1123343
1.766666667,-342.7506559
1.8,-345.1965646
1.833333333,-345.1787281
1.866666667,-345.6986189
1.9,-344.0228315
1.933333333,-348.6953353
1.966666667,-362.7658064
2,-378.9612959
2.033333333,-392.4637514
2.066666667,-398.883008
2.1,-401.5654397
2.133333333,-401.7846292
2.166666667,-403.9859225
2.2,-409.5278364
2.233333333,-417.4336507
2.266666667,-426.1548286
2.3,-438.6226197
2.333333333,-457.7511929
2.366666667,-482.4797497
2.4,-499.7675766
2.433333333,-512.0469983
2.466666667,-512.638539
2.5,-516.6063949
2.533333333,-518.3560575
2.566666667,-521.899677
2.6,-526.4514806
2.633333333,-527.3546462
2.666666667,-525.4151323
2.7,-523.0167481
2.733333333,-522.6351397
2.766666667,-525.0709419
2.8,-525.4147924
2.833333333,-524.3489879
2.866666667,-523.2879663
2.9,-523.6962731
2.933333333,-536.3360439
2.966666667,-552.656181
3,-567.4969332
3.033333333,-575.9800977
3.066666667,-577.8729023
3.1,-577.7021808
3.133333333,-578.0483478
3.166666667,-582.805504
3.2,-591.1016797
3.233333333,-597.4969508
3.266666667,-606.7761219
3.3,-619.3475443
3.333333333,-639.3979208
3.366666667,-665.8110911
3.4,-683.5423592
3.433333333,-697.0941765
3.466666667,-694.1979755
3.5,-695.8057554
3.533333333,-700.2746107
3.566666667,-705.545857
3.6,-710.804866
3.633333333,-714.7892363
3.666666667,-715.1562432
3.7,-712.1398767
3.733333333,-710.2238296
3.766666667,-709.630542
3.8,-709.596419
3.833333333,-705.2440061
3.866666667,-703.6619261
3.9,-716.2009076
3.933333333,-736.8469477
3.966666667,-753.0051949
4,-761.3527171
4.033333333,-765.9321243
4.066666667,-767.3409772
4.1,-769.3356574
4.133333333,-774.1030288
4.166666667,-782.5282983
4.2,-791.7936907
4.233333333,-805.6231055
4.266666667,-828.0724274
4.3,-845.9493724
4.333333333,-863.0831193
4.366666667,-872.9033084
4.4,-873.6568368
4.433333333,-877.8729714
4.466666667,-881.4854217
4.5,-885.9756779
4.533333333,-889.984442
4.566666667,-889.0641719
4.6,-886.7537194
4.633333333,-885.1186661
4.666666667,-885.9175079
4.7,-885.674452
4.733333333,-885.58958
4.766666667,-884.2896465
4.8,-880.1890723
4.833333333,-887.8001239
4.866666667,-905.1989322
4.9,-920.9895387
4.933333333,-932.0456209
4.966666667,-935.3153513
5,-935.773919
5.033333333,-934.840192
5.066666667,-937.7825965
5.1,-945.1705655
5.133333333,-953.5369153
5.166666667,-960.4907391
5.2,-970.6913962
5.233333333,-987.1525568
5.266666667,-1013.658248
5.3,-1035.349609
5.333333333,-1050.610397
5.366666667,-1059.750074
5.4,-1054.73975
5.433333333,-1056.091953
5.466666667,-1060.410126
5.5,-1065.910414
5.533333333,-1072.825199
5.566666667,-1077.056521
5.6,-1078.866945
5.633333333,-1075.359921
5.666666667,-1072.295719
5.7,-1073.105544
5.733333333,-1072.22616
5.766666667,-1072.338798
5.8,-1081.813055
5.833333333,-1098.483527
5.866666667,-1114.196581
5.9,-1124.687077
5.933333333,-1132.783862
5.966666667,-1137.262865
6,-1139.712204
6.033333333,-1142.497442
6.066666667,-1149.249098
6.1,-1159.654224
6.133333333,-1175.25446
6.166666667,-1196.540487
6.2,-1211.252428
6.233333333,-1225.858439
6.266666667,-1233.031863
6.3,-1233.044303
6.333333333,-1235.829256
6.366666667,-1237.939846
6.4,-1240.616505
6.433333333,-1241.751302
6.466666667,-1241.524977
6.5,-1240.951206
6.533333333,-1241.140054
6.566666667,-1242.672827
6.6,-1245.421696
6.633333333,-1245.077407
6.666666667,-1244.960714
6.7,-1244.778229
6.733333333,-1246.200793
6.766666667,-1258.504986
6.8,-1274.571864
6.833333333,-1288.667454
6.866666667,-1295.379752
6.9,-1297.450298
6.933333333,-1297.447757
6.966666667,-1298.717129
7,-1303.624053
7.033333333,-1311.384356
7.066666667,-1317.606845
7.1,-1327.347577
7.133333333,-1341.324354
7.166666667,-1363.455955
7.2,-1389.525068
7.233333333,-1407.023194
7.266666667,-1419.970905
7.3,-1415.932178
7.333333333,-1416.09593
7.366666667,-1421.23285
7.4,-1427.278728
7.433333333,-1433.991619
7.466666667,-1438.888754
7.5,-1443.496356
7.533333333,-1440.807084
7.566666667,-1436.727173
7.6,-1438.851957
7.633333333,-1441.393468
7.666666667,-1447.114033
7.7,-1455.759098
7.733333333,-1463.92646
7.766666667,-1472.451359
7.8,-1482.33071
7.833333333,-1493.028908
7.866666667,-1500.512183
7.9,-1503.000053
7.933333333,-1506.618136
7.966666667,-1517.49238
8,-1536.65751
8.033333333,-1562.170504
8.066666667,-1581.095917
8.1,-1601.470417
8.133333333,-1607.279892
8.166666667,-1592.542146
8.2,-1597.366697
8.233333333,-1602.14528
8.266666667,-1608.582087
8.3,-1610.5148
8.333333333,-1610.430129
8.366666667,-1608.829327
8.4,-1607.623083
8.433333333,-1607.530539
8.466666667,-1606.500807
8.5,-1604.356381
8.533333333,-1603.092605
8.566666667,-1612.877667
8.6,-1630.95549
8.633333333,-1647.067668
8.666666667,-1657.079453
8.7,-1663.629761
8.733333333,-1668.181068
8.766666667,-1672.171598
8.8,-1676.92407
8.833333333,-1683.640764
8.866666667,-1694.452126
8.9,-1710.336772
8.933333333,-1733.15198
8.966666667,-1749.302943
9,-1765.54151
9.033333333,-1770.970172
9.066666667,-1773.872328
9.1,-1777.215026
9.133333333,-1779.644314
9.166666667,-1783.415477
9.2,-1785.060663
9.233333333,-1783.879113
9.266666667,-1782.215395
9.3,-1781.789999
9.333333333,-1783.291812
9.366666667,-1785.041534
9.4,-1784.690769
9.433333333,-1784.604611
9.466666667,-1782.168657
9.5,-1789.097953
9.533333333,-1804.897654
9.566666667,-1820.642394
9.6,-1832.516485
9.633333333,-1836.895705
9.666666667,-1838.278399
9.7,-1838.312095
9.733333333,-1841.19536
9.766666667,-1847.882536
9.8,-1855.38814
9.833333333,-1861.642566
9.866666667,-1870.930779
9.9,-1885.83067
9.933333333,-1908.131415
9.966666667,-1932.453171
10,-1945.749527
10.03333333,-1953.616446
10.06666667,-1952.96058
10.1,-1954.447801
10.13333333,-1957.436915
10.16666667,-1961.149392
10.2,-1967.346535
10.23333333,-1967.706092
10.26666667,-1965.650552
10.3,-1963.816735
10.33333333,-1964.926682
10.36666667,-1966.345613
10.4,-1965.3792
10.43333333,-1963.719553
10.46666667,-1962.04456
10.5,-1971.623683
10.53333333,-1988.332888
10.56666667,-2004.644827
10.6,-2015.773284
10.63333333,-2019.361547
10.66666667,-2020.781402
10.7,-2022.020847
10.73333333,-2026.531121
10.76666667,-2033.693115
10.8,-2040.556674
10.83333333,-2047.913379
10.86666667,-2059.315057
10.9,-2077.900465
10.93333333,-2103.518889
10.96666667,-2120.497069
11,-2132.977553
11.03333333,-2131.966936
11.06666667,-2135.875909
11.1,-2139.027751
11.13333333,-2143.574876
11.16666667,-2148.05842
11.2,-2151.055864
11.23333333,-2150.035611
11.26666667,-2148.069485
11.3,-2148.148907
11.33333333,-2147.525125
11.36666667,-2146.969204
11.4,-2142.907643
11.43333333,-2139.787174
11.46666667,-2150.592353
11.5,-2169.468452
11.53333333,-2184.083423
11.56666667,-2192.689982
11.6,-2197.02243
11.63333333,-2198.125677
11.66666667,-2200.39476
11.7,-2205.987126
11.73333333,-2214.540755
11.76666667,-2226.057252
11.8,-2241.252031
11.83333333,-2266.944014
11.86666667,-2287.540222
11.9,-2306.561753
11.93333333,-2316.391829
11.96666667,-2315.67966
12,-2319.057594
12.03333333,-2325.358956
12.06666667,-2331.29099
12.1,-2336.520145
12.13333333,-2337.231347
12.16666667,-2336.853483
12.2,-2333.332566
12.23333333,-2333.028984
12.26666667,-2335.508007
12.3,-2335.920281
12.33333333,-2335.524485
12.36666667,-2343.500397
12.4,-2360.590417
12.43333333,-2375.177305
12.46666667,-2383.670343
12.5,-2390.036678
12.53333333,-2394.053112
12.56666667,-2396.106369
12.6,-2397.079565
12.63333333,-2402.641923
12.66666667,-2410.414748
12.7,-2424.098952
12.73333333,-2443.750605
12.76666667,-2464.529121
12.8,-2479.121042
12.83333333,-2488.799404
12.86666667,-2491.143635
12.9,-2495.240272
12.93333333,-2497.063179
12.96666667,-2500.604206
13,-2503.882463
13.03333333,-2503.514249
13.06666667,-2501.829853
13.1,-2500.892292
13.13333333,-2501.978286
13.16666667,-2505.054799
13.2,-2505.308374
13.23333333,-2505.162575
13.26666667,-2505.131596
13.3,-2505.505975
13.33333333,-2516.466596
13.36666667,-2532.962365
13.4,-2547.670626
13.43333333,-2554.205139
13.46666667,-2556.08075
13.5,-2555.879653
13.53333333,-2557.523606
13.56666667,-2563.037932
13.6,-2571.27976
13.63333333,-2578.964453
13.66666667,-2590.627939
13.7,-2607.554515
13.73333333,-2634.625572
13.76666667,-2655.244741
13.8,-2672.893169
13.83333333,-2679.652352
13.86666667,-2676.518089
13.9,-2679.156181
13.93333333,-2685.271835
