Time 305,Angle 305
0,0
0.01,-0.000457589
0.02,-0.00182886
0.03,-0.004112103
0.04,-0.007306289
0.05,-0.011411072
0.06,-0.016426781
0.07,-0.022354416
0.08,-0.029195645
0.09,-0.036952795
0.1,-0.045628842
0.11,-0.055227407
0.12,-0.065752735
0.13,-0.077209684
0.14,-0.089603697
0.15,-0.102940779
0.16,-0.117227456
0.17,-0.132470729
0.18,-0.14867802
0.19,-0.165857091
0.2,-0.184015956
0.21,-0.203162772
0.22,-0.223305696
0.23,-0.244452723
0.24,-0.266611486
0.25,-0.289789019
0.26,-0.313991482
0.27,-0.33922385
0.28,-0.365489515
0.29,-0.392789903
0.3,-0.42112401
0.31,-0.450487898
0.32,-0.48087418
0.33,-0.512271481
0.34,-0.544663911
0.35,-0.578030577
0.36,-0.612345156
0.37,-0.647575576
0.38,-0.683683841
0.39,-0.720626024
0.4,-0.758352475
0.41,-0.796808243
0.42,-0.835933723
0.43,-0.875665512
0.44,-0.915937436
0.45,-0.956681701
0.46,-0.997830106
0.47,-1.039315238
0.48,-1.0810716
0.49,-1.123036607
0.5,-1.1651514
0.51,-1.207361466
0.52,-1.249617038
0.53,-1.291873305
0.54,-1.33409042
0.55,-1.376233363
0.56,-1.418271673
0.57,-1.460179085
0.58,-1.501933101
0.59,-1.543514525
0.6,-1.584906983
0.61,-1.626096444
0.62,-1.667070757
0.63,-1.707819213
0.64,-1.748332142
0.65,-1.788600544
0.66,-1.828615764
0.67,-1.868369205
0.68,-1.907852088
0.69,-1.947055248
0.7,-1.985968981
0.71,-2.024582925
0.72,-2.062885985
0.73,-2.100866293
0.74,-2.138511207
0.75,-2.175807337
0.76,-2.212740597
0.77,-2.249296289
0.78,-2.285459191
0.79,-2.32121367
0.8,-2.356543789
0.81,-2.391433424
0.82,-2.425866375
0.83,-2.459826469
0.84,-2.493297651
0.85,-2.526264069
0.86,-2.558710134
0.87,-2.590620577
0.88,-2.621980488
0.89,-2.652775339
0.9,-2.682991005
0.91,-2.712613771
0.92,-2.741630336
0.93,-2.770027808
0.94,-2.797793704
0.95,-2.824915945
0.96,-2.851382857
0.97,-2.877183165
0.98,-2.902306003
0.99,-2.926740919
1,-2.950477884
1.01,-2.973507307
1.02,-2.995820052
1.03,-3.017407462
