Time 3505,Angle 3505
0,0
0.01,-0.000457588
0.02,-0.001828852
0.03,-0.004112062
0.04,-0.007306162
0.05,-0.011410761
0.06,-0.016426136
0.07,-0.022353218
0.08,-0.029193597
0.09,-0.036949504
0.1,-0.045623812
0.11,-0.055220016
0.12,-0.065742227
0.13,-0.077195149
0.14,-0.089584058
0.15,-0.102914772
0.16,-0.117193614
0.17,-0.132427364
0.18,-0.148623198
0.19,-0.16578862
0.2,-0.183931362
0.21,-0.203059277
0.22,-0.2231802
0.23,-0.244301782
0.24,-0.266431294
0.25,-0.289575392
0.26,-0.313739844
0.27,-0.338929201
0.28,-0.365146453
0.29,-0.392392609
0.3,-0.420666252
0.31,-0.449963049
0.32,-0.480275242
0.33,-0.511591122
0.34,-0.543894519
0.35,-0.577164319
0.36,-0.611374056
0.37,-0.646491609
0.38,-0.682479029
0.39,-0.719292548
0.4,-0.756882782
0.41,-0.795195155
0.42,-0.834170537
0.43,-0.87374609
0.44,-0.913856273
0.45,-0.954433974
0.46,-0.995411697
0.47,-1.036722736
0.48,-1.078302285
0.49,-1.120088407
0.5,-1.162022842
0.51,-1.204051611
0.52,-1.246125419
0.53,-1.288199855
0.54,-1.330235412
0.55,-1.372197353
0.56,-1.414055452
0.57,-1.455783638
0.58,-1.497359581
0.59,-1.53876424
0.6,-1.579981387
0.61,-1.620997146
0.62,-1.661799532
0.63,-1.702378039
0.64,-1.742723226
0.65,-1.782826378
0.66,-1.82267917
0.67,-1.862273387
0.68,-1.901600707
0.69,-1.940652492
0.7,-1.979419628
0.71,-2.017892424
0.72,-2.056060529
0.73,-2.09391289
0.74,-2.131437753
0.75,-2.16862268
0.76,-2.205454605
0.77,-2.241919905
0.78,-2.278004485
0.79,-2.313693889
0.8,-2.348973401
0.81,-2.38382815
0.82,-2.418243221
0.83,-2.452203764
0.84,-2.485695071
0.85,-2.518702654
0.86,-2.551212318
0.87,-2.583210209
0.88,-2.614682854
0.89,-2.645617183
0.9,-2.676000551
0.91,-2.705820744
0.92,-2.73506598
0.93,-2.763724908
0.94,-2.791786603
0.95,-2.81924056
0.96,-2.846076691
0.97,-2.872285321
