Time 4505,Angle 4505
2.54,-4.436921507
2.55,-4.46145927
2.56,-4.486132029
2.57,-4.510927991
2.58,-4.535836
2.59,-4.560845528
2.6,-4.585946668
2.61,-4.611130112
2.62,-4.636387117
2.63,-4.661709469
2.64,-4.687089439
2.65,-4.712519735
2.66,-4.737993442
2.67,-4.763503971
2.68,-4.789044993
2.69,-4.814610381
2.7,-4.840194142
2.71,-4.865790357
2.72,-4.891393115
2.73,-4.916996451
2.74,-4.942594287
2.75,-4.968180368
2.76,-4.99374821
2.77,-5.019291047
2.78,-5.044801778
2.79,-5.070272926
2.8,-5.095696598
2.81,-5.121064444
2.82,-5.146367635
2.83,-5.171596835
2.84,-5.196742185
2.85,-5.221793292
2.86,-5.246739222
2.87,-5.271568507
2.88,-5.296269149
2.89,-5.320828633
2.9,-5.345233954
2.91,-5.369471638
2.92,-5.39352777
2.93,-5.417388036
2.94,-5.441037756
2.95,-5.464461926
2.96,-5.487645266
2.97,-5.510572259
2.98,-5.533227199
2.99,-5.555594239
3,-5.577657435
3.01,-5.599400784
3.02,-5.620808276
3.03,-5.641863931
3.04,-5.662551837
3.05,-5.682856182
3.06,-5.702761295
3.07,-5.722251674
3.08,-5.741312019
3.09,-5.759927254
3.1,-5.778082558
3.11,-5.795763386
3.12,-5.812955494
3.13,-5.829644963
3.14,-5.845818215
3.15,-5.861462039
3.16,-5.876563605
3.17,-5.891110489
3.18,-5.905090692
3.19,-5.918492655
3.2,-5.931305282
3.21,-5.943517958
3.22,-5.955120565
3.23,-5.966103505
3.24,-5.976457712
3.25,-5.98617467
3.26,-5.995246436
3.27,-6.003665655
3.28,-6.011425568
3.29,-6.01852003
3.3,-6.024943525
3.31,-6.030691179
3.32,-6.03575877
3.33,-6.040142737
3.34,-6.043840188
3.35,-6.046848909
3.36,-6.049167369
3.37,-6.050794726
3.38,-6.051730829
3.39,-6.051976216
3.4,-6.05153212
3.41,-6.050400464
3.42,-6.048583858
3.43,-6.046085596
3.44,-6.042909651
3.45,-6.039060664
3.46,-6.034543939
3.47,-6.029365431
3.48,-6.023531737
3.49,-6.01705008
3.5,-6.009928298
3.51,-6.002174827
3.52,-5.993798688
3.53,-5.984809468
3.54,-5.975217302
3.55,-5.965032856
3.56,-5.954267306
3.57,-5.94293232
3.58,-5.931040037
3.59,-5.918603048
3.6,-5.905634373
3.61,-5.892147443
3.62,-5.878156075
3.63,-5.863674456
3.64,-5.848717117
3.65,-5.833298918
3.66,-5.817435018
3.67,-5.801140863
3.68,-5.784432157
3.69,-5.767324845
3.7,-5.749835086
3.71,-5.731979234
3.72,-5.71377381
3.73,-5.69523548
3.74,-5.676381027
3.75,-5.657227322
3.76,-5.6377913
3.77,-5.618089924
3.78,-5.598140155
3.79,-5.577958921
3.8,-5.55756308
3.81,-5.536969385
3.82,-5.516194445
3.83,-5.495254694
3.84,-5.474166347
3.85,-5.452945367
3.86,-5.431607424
3.87,-5.410167866
3.88,-5.388641678
3.89,-5.367043456
3.9,-5.345387373
3.91,-5.323687156
3.92,-5.301956061
3.93,-5.280206855
3.94,-5.258451799
3.95,-5.236702641
3.96,-5.214970602
3.97,-5.19326638
3.98,-5.171600147
3.99,-5.149981562
4,-5.12841977
4.01,-5.106923426
4.02,-5.085500707
4.03,-5.064159335
4.04,-5.042906599
4.05,-5.021749384
4.06,-5.000694195
4.07,-4.979747193
4.08,-4.958914223
4.09,-4.938200851
4.1,-4.917612391
4.11,-4.89715395
4.12,-4.876830454
4.13,-4.856646686
4.14,-4.836607319
4.15,-4.816716952
4.16,-4.79698014
4.17,-4.777401424
4.18,-4.757985364
4.19,-4.738736563
4.2,-4.719659696
4.21,-4.700759531
4.22,-4.682040952
4.23,-4.663508977
4.24,-4.645168771
4.25,-4.627025661
4.26,-4.609085152
4.27,-4.591352927
4.28,-4.573834843
4.29,-4.556536945
4.3,-4.53946546
4.31,-4.522626789
4.32,-4.506027495
4.33,-4.489674295
4.34,-4.473574035
4.35,-4.457733677
4.36,-4.442160284
4.37,-4.426860988
4.38,-4.411842963
4.39,-4.397113402
4.4,-4.382679483
4.41,-4.368548337
4.42,-4.354727023
4.43,-4.341222488
4.44,-4.328041534
4.45,-4.315190791
4.46,-4.302676681
4.47,-4.29050539
4.48,-4.278682832
4.49,-4.267214621
4.5,-4.256106052
4.51,-4.245362071
4.52,-4.234987252
4.53,-4.224985776
4.54,-4.215361417
4.55,-4.206117525
4.56,-4.197257014
4.57,-4.188782351
4.58,-4.18069555
4.59,-4.172998168
4.6,-4.1656913
4.61,-4.158775583
4.62,-4.152251195
4.63,-4.146117861
4.64,-4.14037486
4.65,-4.135021029
4.66,-4.130054779
4.67,-4.125474101
4.68,-4.121276579
4.69,-4.117459407
4.7,-4.114019399
4.71,-4.110953005
4.72,-4.10825633
4.73,-4.105925146
4.74,-4.103954912
4.75,-4.102340791
4.76,-4.101077664
4.77,-4.100160154
4.78,-4.099582637
4.79,-4.099339264
4.8,-4.099423977
4.81,-4.099830527
4.82,-4.100552492
4.83,-4.101583295
4.84,-4.102916218
4.85,-4.104544423
4.86,-4.106460966
4.87,-4.108658815
4.88,-4.111130864
4.89,-4.113869953
4.9,-4.116868877
4.91,-4.120120409
4.92,-4.123617308
4.93,-4.127352336
4.94,-4.131318273
4.95,-4.135507929
4.96,-4.139914158
4.97,-4.144529869
4.98,-4.149348041
4.99,-4.154361732
5,-4.159564088
5.01,-4.164948362
5.02,-4.170507913
5.03,-4.176236224
5.04,-4.182126906
5.05,-4.188173708
5.06,-4.194370525
5.07,-4.200711402
5.08,-4.207190545
5.09,-4.213802324
5.1,-4.220541277
5.11,-4.227402117
5.12,-4.234379736
5.13,-4.241469205
5.14,-4.24866578
5.15,-4.255964903
5.16,-4.263362204
5.17,-4.2708535
5.18,-4.278434799
5.19,-4.286102296
5.2,-4.293852376
5.21,-4.30168161
5.22,-4.309586755
5.23,-4.317564753
5.24,-4.32561273
5.25,-4.333727985
5.26,-4.341907999
5.27,-4.350150424
5.28,-4.35845308
5.29,-4.366813955
5.3,-4.375231197
5.31,-4.383703112
5.32,-4.392228158
5.33,-4.400804941
5.34,-4.409432213
5.35,-4.418108862
5.36,-4.426833909
5.37,-4.435606508
5.38,-4.444425933
5.39,-4.453291578
5.4,-4.46220295
5.41,-4.471159666
5.42,-4.480161444
5.43,-4.489208103
5.44,-4.498299555
5.45,-4.507435799
5.46,-4.51661692
5.47,-4.525843083
5.48,-4.535114524
5.49,-4.544431553
5.5,-4.553794544
5.51,-4.563203932
5.52,-4.572660212
5.53,-4.58216393
5.54,-4.591715682
5.55,-4.601316113
5.56,-4.610965909
5.57,-4.620665794
5.58,-4.63041653
5.59,-4.640218914
5.6,-4.650073771
5.61,-4.659981957
5.62,-4.669944351
5.63,-4.67996186
5.64,-4.69003541
5.65,-4.700165948
5.66,-4.710354443
5.67,-4.720601877
5.68,-4.730909252
5.69,-4.741277587
5.7,-4.751707914
5.71,-4.762201283
5.72,-4.772758758
5.73,-4.78338142
5.74,-4.794070364
5.75,-4.804826704
5.76,-4.815651572
5.77,-4.826546119
5.78,-4.837511516
5.79,-4.848548957
5.8,-4.859659662
5.81,-4.870844878
5.82,-4.882105879
5.83,-4.893443976
5.84,-4.904860512
5.85,-4.91635687
5.86,-4.927934478
5.87,-4.939594809
5.88,-4.951339387
5.89,-4.963169792
5.9,-4.975087663
5.91,-4.987094707
5.92,-4.9991927
5.93,-5.011383492
5.94,-5.023669018
5.95,-5.036051298
5.96,-5.048532447
5.97,-5.061114682
5.98,-5.073800323
5.99,-5.086591804
6,-5.099491683
6.01,-5.112502644
6.02,-5.125627504
6.03,-5.138869223
6.04,-5.152230913
6.05,-5.165715841
6.06,-5.179327443
6.07,-5.193069325
6.08,-5.206945273
6.09,-5.220959265
6.1,-5.235115474
6.11,-5.249418281
6.12,-5.263872275
6.13,-5.278482266
6.14,-5.293253294
6.15,-5.308190633
6.16,-5.323299802
6.17,-5.338586567
6.18,-5.35405695
6.19,-5.369717237
6.2,-5.385573985
6.21,-5.401634027
6.22,-5.417904474
6.23,-5.434392726
6.24,-5.451106469
6.25,-5.468053687
6.26,-5.485242664
6.27,-5.502681987
6.28,-5.520380549
6.29,-5.538347548
6.3,-5.556592496
6.31,-5.575125216
6.32,-5.593955846
6.33,-5.61309484
6.34,-5.632552974
6.35,-5.652341339
6.36,-5.67247135
6.37,-5.692954751
6.38,-5.713803611
6.39,-5.735030335
6.4,-5.75664767
6.41,-5.778668708
6.42,-5.801106904
6.43,-5.82397608
6.44,-5.847290443
6.45,-5.871064611
6.46,-5.895313618
6.47,-5.920052952
6.48,-5.945298581
6.49,-5.971066974
6.5,-5.997375149
6.51,-6.024240703
6.52,-6.05168185
6.53,-6.079717454
6.54,-6.108367073
6.55,-6.13765099
6.56,-6.16759023
6.57,-6.198206577
6.58,-6.22952257
6.59,-6.26156147
6.6,-6.294347198
6.61,-6.327904241
6.62,-6.362257486
6.63,-6.397432007
6.64,-6.433452771
6.65,-6.470344234
6.66,-6.508129867
6.67,-6.546831527
6.68,-6.586468663
6.69,-6.627057546
6.7,-6.668610198
6.71,-6.71113332
6.72,-6.754627128
6.73,-6.799084199
6.74,-6.844488401
6.75,-6.890813991
6.76,-6.938025008
6.77,-6.986075075
6.78,-7.034907683
6.79,-7.084457014
6.8,-7.134649322
6.81,-7.185404777
6.82,-7.236639675
6.83,-7.288268823
6.84,-7.340207902
6.85,-7.392375656
6.86,-7.44469571
6.87,-7.497097954
6.88,-7.549519425
6.89,-7.601904724
6.9,-7.654206001
6.91,-7.706382592
6.92,-7.758400409
6.93,-7.810231146
6.94,-7.861851391
6.95,-7.913241702
6.96,-7.964385693
6.97,-8.01526916
6.98,-8.065879282
6.99,-8.116203894
7,-8.166230866
7.01,-8.215947564
7.02,-8.265340432
7.03,-8.314394665
7.04,-8.363093995
7.05,-8.411420572
7.06,-8.459354947
7.07,-8.506876132
7.08,-8.55396174
7.09,-8.600588181
7.1,-8.646730889
7.11,-8.692364579
7.12,-8.737463489
7.13,-8.782001622
7.14,-8.825952943
7.15,-8.869291551
7.16,-8.911991797
7.17,-8.954028368
7.18,-8.995376332
7.19,-9.036011153
7.2,-9.075908683
7.21,-9.115045151
7.22,-9.153397144
7.23,-9.190941596
7.24,-9.227655797
7.25,-9.263517421
7.26,-9.298504569
7.27,-9.332595845
7.28,-9.365770449
