Time 39505,Angle 39505
0,0
0.01,-0.000457588
0.02,-0.001828844
0.03,-0.004112021
0.04,-0.007306031
0.05,-0.011410441
0.06,-0.01642547
0.07,-0.022351983
0.08,-0.029191484
0.09,-0.03694611
0.1,-0.045618623
0.11,-0.055212393
0.12,-0.065731389
0.13,-0.077180159
0.14,-0.089563804
0.15,-0.102887952
0.16,-0.117158713
0.17,-0.132382642
0.18,-0.148566664
0.19,-0.165718013
0.2,-0.183844132
0.21,-0.202952562
0.22,-0.223050806
0.23,-0.24414616
0.24,-0.266245525
0.25,-0.289355162
0.26,-0.313480434
0.27,-0.338625474
0.28,-0.364792843
0.29,-0.391983123
0.3,-0.420194474
0.31,-0.449422156
0.32,-0.479658029
0.33,-0.510890042
0.34,-0.543101732
0.35,-0.576271756
0.36,-0.610373503
0.37,-0.645374793
0.38,-0.681237726
0.39,-0.717918687
0.4,-0.755368564
0.41,-0.793533157
0.42,-0.83235382
0.43,-0.871768287
0.44,-0.911711661
0.45,-0.952117524
0.46,-0.9929191
0.47,-1.034050411
0.48,-1.075447353
0.49,-1.117048658
0.5,-1.158796681
0.51,-1.200637999
0.52,-1.242523801
0.53,-1.284410095
0.54,-1.32625773
0.55,-1.368032262
0.56,-1.409703712
0.57,-1.451246214
0.58,-1.492637616
0.59,-1.533859033
0.6,-1.574894392
0.61,-1.615729971
0.62,-1.656353961
0.63,-1.69675605
0.64,-1.736927032
0.65,-1.776858466
0.66,-1.816542354
0.67,-1.855970867
0.68,-1.895136131
0.69,-1.934030024
0.7,-1.972644021
0.71,-2.010969093
0.72,-2.048995624
0.73,-2.086713371
0.74,-2.124111459
0.75,-2.1611784
0.76,-2.19790214
0.77,-2.234270127
0.78,-2.270269394
0.79,-2.305886658
0.8,-2.341108423
0.81,-2.375921074
0.82,-2.410310989
0.83,-2.444264637
0.84,-2.477768662
0.85,-2.510809951
0.86,-2.543375709
0.87,-2.575453504
0.88,-2.607031309
0.89,-2.63809752
0.9,-2.668640984
0.91,-2.698650997
0.92,-2.728117313
0.93,-2.757030135
0.94,-2.785380112
0.95,-2.813158334
0.96,-2.840356322
0.97,-2.866966023
