Time,Angle
0.008,16.9613474736878
0.016,-2.37623618115266
0.024,-1.6292199343587
0.032,-3.49494426648658
0.04,-8.24930094540704
0.048,-10.2646660488376
0.056,-7.87841829044048
0.064,-2.00722420036536
0.072,2.01408084112515
0.08,1.68473739113362
0.088,-0.413406524733765
0.096,-2.17901610310678
0.104,-2.68884650457729
0.112,-4.03007291857271
0.12,-6.88955627185321
0.128,-10.4988765642932
0.136,-14.0098716047328
0.144,-15.8636240097007
0.152,-16.8273690633863
0.16,-17.5176786409365
0.168,-20.077903191995
0.176,-23.5327535027647
0.184,-25.911375180274
0.192,-26.8000748261434
0.2,-27.5877681813093
0.208,-29.3935874128468
0.216,-35.9960031655374
0.224,-40.9629201302421
0.232,-41.4033070747527
0.24,-28.5747938653015
0.248,2.41895112854028
0.256,29.7764515629723
0.264,45.961236765775
0.272,49.1801456473024
0.28,21.3175602823725
0.288,-4.68401818852216
0.296,-12.1173295286746
0.304,-12.269021706843
0.312,-14.1716635471713
0.32,-9.1783121128726
0.328,-6.32228718421917
0.336,-4.38649725678173
0.344,-4.64010121031419
0.352,-10.8988359328992
0.36,-16.8099307243012
0.368,-25.5186973297884
0.376,-31.9084779594311
0.384,-25.5488852342859
0.392,-19.2485109090992
0.4,-22.7817976806959
0.408,-25.6993900965182
0.416,-20.4218082828355
0.424,-6.02656520205132
0.432,-0.346265277115769
0.44,-1.43125237677235
0.448,-6.09490252361809
0.456,-11.3900725628658
0.464,-11.9243153198357
0.472,-9.04088748516157
0.48,-8.15923335383477
0.488,-7.50731896788721
0.496,-5.3387873722222
0.504,-1.48799440835613
0.512,0.874403368452811
0.52,-0.480534014454818
0.528,-3.88847900101688
0.536,-6.33101538648662
0.544,-7.0351804079545
0.552,-6.77200757297413
0.56,-8.46215203128479
0.568,-12.7897466076279
0.576,-16.1780832847978
0.584,-17.6312522953519
0.592,-17.9931802699083
0.6,-20.0582952220072
0.608,-24.3787138371621
0.616,-27.7236052654485
0.624,-28.7771223736035
0.632,-28.843679670516
0.64,-30.2671526386735
0.648,-37.5626163472066
0.656,-42.9271942004735
0.664,-41.0337122479325
0.672,-24.3041895945516
0.68,9.10899347192822
0.688,33.3153380933948
0.696,49.812312439863
0.704,46.0369284664375
0.712,14.6301823831375
0.72,-5.74162724649793
0.728,-11.8635787946219
0.736,-14.9716342485165
0.744,-13.7904219595303
0.752,-8.66961351643951
0.76,-9.74143228758019
0.768,-8.72956704102531
0.776,-11.325585424833
0.784,-16.2867145385791
0.792,-22.4280021735173
0.8,-32.8610879387946
0.808,-37.3066930805724
0.816,-20.9054387302714
0.824,-21.1808896259033
0.832,-27.3809273664384
0.84,-29.5691705669348
0.848,-19.2756124484084
0.856,-4.5452218693277
0.864,-2.11874739575511
0.872,-2.00086930840749
0.88,-5.66350392712787
0.888,-8.11115137734745
0.896,-10.8726473964953
0.904,-12.166726200379
0.912,-12.6171780039425
0.92,-9.83953428234388
0.928,-4.12448627089445
0.936,0.211635527902172
0.944,1.02761347256296
0.952,-1.73496407579545
0.96,-5.60679687481165
0.968,-8.39852667987305
0.976,-8.88885943018059
0.984,-9.14100701896195
0.992,-11.1205134214207
1,-15.4779668788103
1.008,-18.0832686759629
1.016,-19.2024360940808
1.024,-19.5183893294553
