Time,Angle
0.008,1.56264603436815
0.016,27.3622345446238
0.024,23.4075225778975
0.032,-2.65685929711645
0.04,-7.96473018207655
0.048,-15.4886408942622
0.056,-25.7579822539545
0.064,-34.9615289266678
0.072,-39.8003483337725
0.08,-41.3502566493547
0.088,-44.5606290071255
0.096,-53.20307810003
0.104,-63.0055813176252
0.112,-68.3661771554756
0.12,-67.5583729683602
0.128,-64.2419866855585
0.136,-60.8055887377757
0.144,-57.5234838373632
0.152,-52.9105374768876
0.16,-45.3649422732192
0.168,-35.4570933343386
0.176,-24.8462746386257
0.184,4.29503612522134
0.192,6.83186670244555
0.2,-17.4230448659947
0.208,-33.6711039647507
0.216,-37.1626825913474
0.224,-34.9057117789772
0.232,-30.8874977385303
0.24,-30.8582777855307
0.248,-32.6971153079252
0.256,-33.2831103032987
0.264,-30.30251263341
0.272,-23.0643367122207
0.28,-16.7965996951203
0.288,-14.4276445584478
0.296,-14.144137113073
0.304,-13.9706168109256
0.312,-12.8961120987807
0.32,-11.954678521025
0.328,-7.12175317640159
0.336,0.348075717777882
0.344,8.2560574645716
0.352,11.5328406376208
0.36,4.85474695350374
0.368,-6.90474716750851
0.376,-18.0122341031362
0.384,-27.450704285815
0.392,-31.5658926788519
0.4,-36.7869406812014
0.408,-34.8943002080931
0.416,-20.9275716598221
0.424,-5.50449748739769
0.432,-15.8036104311092
0.44,-23.6877472086387
0.448,-23.3914730941761
0.456,-13.5462229513839
0.464,-0.128291163082231
0.472,29.0793984668857
0.48,25.5225286805735
0.488,-3.98803508946447
0.496,-11.9531024333745
0.504,-19.8973513596522
0.512,-29.987070616008
0.52,-37.8977744566308
0.528,-43.2967407799688
0.536,-47.0424221149003
0.544,-53.3578357019037
0.552,-63.3847812663674
0.56,-72.5143820532618
0.568,-73.3394623315538
0.576,-67.4270089733803
0.584,-62.2553587953988
0.592,-60.4784666524437
0.6,-58.1299994195426
0.608,-52.3171345867248
0.616,-44.735309329084
0.624,-36.7175887477164
0.632,-29.6594831407535
0.64,-25.5206177189935
0.648,-31.6466479814906
0.656,-38.5762593308731
0.664,-41.9975180250205
0.672,-42.749922162577
0.68,-41.6248765597023
0.688,-39.5728751399282
0.696,-37.3731470169207
0.704,-34.8103353611377
0.712,-32.3700847283693
0.72,-30.4410945209826
0.728,-26.9701400753527
0.736,-22.4703058887437
0.744,-17.9036594540696
0.752,-14.9395738044824
0.76,-13.2773498352959
0.768,-10.9407512770901
0.776,-1.07690949219352
0.784,12.8880479249645
0.792,16.0788470863573
0.8,4.71095773610881
0.808,-8.57940131141237
0.816,-19.3653227910519
0.824,-18.8058928594331
0.832,-17.404406230488
0.84,-21.4287128472981
0.848,-30.9106014585036
0.856,-38.6280710801155
0.864,-17.1250773131127
0.872,-15.1340755087825
0.88,-28.8434600992982
0.888,-29.8611002303027
0.896,-19.3347153787864
0.904,-2.30873155991369
0.912,25.3414478221594
0.92,24.7302469351095
0.928,18.34922100909
0.936,-4.50715317292853
0.944,-11.280935312526
0.952,-21.5950260420865
0.96,-32.8915674954214
0.968,-39.8776674307197
0.976,-42.0394299445128
0.984,-44.312628258151
0.992,-51.2622725041183
1,-60.8124435080344
1.008,-68.0095773349102
1.016,-68.4281223376865
1.024,-65.4675827472704
1.032,-62.1543735565578
1.04,-58.6816024858859
1.048,-52.9180289980173
1.056,-44.2518085939173
1.064,-34.1956856268335
1.072,-26.1946284408599
1.08,10.2456692354717
1.088,1.96442027051718
1.096,-19.4700450828114
1.104,-34.9264463772507
1.112,-37.9440951677692
1.12,-36.5528050517648
1.128,-33.389209451201
1.136,-33.267024963058
1.144,-33.7067267217068
1.152,-31.3762804624894
1.16,-26.0755130806018
1.168,-18.9197002687092
1.176,-15.0562616367082
1.184,-14.4288900562645
1.192,-14.0583810888337
1.2,-13.5986203664553
1.208,-12.7956284430112
1.216,-10.9160043243464
1.224,-3.25399391544906
1.232,5.58557472200524
1.24,11.0200590565872
1.248,10.1579233873406
1.256,0.930759334963038
1.264,-11.1379989785008
1.272,-19.2776559841953
1.28,-23.1720233509111
1.288,-25.4894631454526
