Time,Angle
0.008,8.206291958
0.016,13.81502332
0.024,6.949412992
0.032,-2.932111282
0.04,-15.2204526
0.048,-22.30947961
0.056,-22.09285283
0.064,-23.20077947
0.072,-9.01662358
0.08,5.81735092
0.088,10.25172589
0.096,6.362685135
0.104,-1.968408105
0.112,-15.12609807
0.12,-21.81826673
0.128,-20.22935407
0.136,-32.74678877
0.144,-25.66770451
0.152,-3.969685028
0.16,8.088265066
0.168,8.959413105
0.176,2.995724153
0.184,-6.982917049
0.192,-18.07579548
0.2,-21.13148218
0.208,40.97242427
0.216,61.48045855
0.224,138.215593
0.232,165.7055215
0.24,183.4759994
0.248,189.5618814
0.256,184.98047
0.264,177.3964695
0.272,166.7332589
0.28,158.9950318
0.288,157.4773413
0.296,159.0882857
0.304,171.6342825
0.312,184.9797362
0.32,190.1928778
0.328,186.5314528
0.336,178.5011617
0.344,165.1956566
0.352,159.3724298
0.36,157.8912117
0.368,235.4838406
0.376,312.2169503
0.384,342.1241654
0.392,357.9179802
0.4,366.0622827
0.408,365.5156704
0.416,360.3419731
0.424,349.8533716
0.432,338.8137208
0.44,337.4330048
0.448,335.6848917
0.456,334.0390629
0.464,350.0319614
0.472,368.3151871
0.48,372.3364009
0.488,366.3553197
0.496,357.369778
0.504,344.4422812
0.512,338.1861042
0.52,340.8272071
0.528,328.7722744
0.536,323.4977247
0.544,348.1334358
0.552,363.9424124
0.56,368.7125642
0.568,364.7152393
0.576,357.1293245
0.584,345.6720246
0.592,338.4417628
0.6,337.9476612
0.608,338.768924
0.616,350.8745087
0.624,364.6775659
0.632,370.19041
0.64,366.5635937
0.648,359.1126194
0.656,345.6735363
0.664,339.2695836
0.672,337.6022933
0.68,417.3376277
0.688,490.1173986
0.696,519.8959986
0.704,537.3309156
0.712,546.1445301
0.72,545.6057541
0.728,540.3619604
0.736,530.356501
0.744,520.9443076
0.752,518.0639914
0.76,517.285857
0.768,523.9442008
0.776,539.4479117
0.784,550.4912568
0.792,548.8899341
0.8,544.007313
0.808,530.831509
0.816,520.9367748
0.824,519.3633696
0.832,586.8594958
0.84,668.767885
0.848,687.2265662
0.856,711.7974572
0.864,724.0469094
0.872,726.2511524
0.88,722.8605061
0.888,714.9366658
0.896,703.8679934
0.904,697.6244342
0.912,698.6526476
0.92,697.6007853
0.928,710.7173805
0.936,726.032546
0.944,730.9113505
0.952,726.8320068
0.96,718.9777738
0.968,705.2894895
0.976,699.1319112
0.984,747.9149367
0.992,772.4709005
1,776.0115866
1.008,690.6920491
1.016,706.2373491
1.024,720.0133565
1.032,725.2062676
1.04,723.1149674
1.048,716.4409253
1.056,704.1514813
1.064,698.5950163
1.072,698.2092366
1.08,703.876372
1.088,715.9547024
1.096,727.9269972
1.104,730.2502308
1.112,725.446362
1.12,711.9042478
1.128,702.6136218
1.136,698.2002488
1.144,700.5436424
1.152,702.5478401
1.16,702.2044143
1.168,713.8999441
1.176,723.7585686
1.184,726.1358032
1.192,723.2631207
1.2,712.2168713
1.208,694.0694187
1.216,696.1009261
1.224,729.91753
1.232,693.4799917
1.24,689.973457
1.248,712.4476351
1.256,729.6913193
1.264,731.2495178
1.272,724.3700984
1.28,713.6327041
1.288,703.1038494
1.296,697.8201036
1.304,698.2591565
1.312,699.1988412
1.32,712.484251
1.328,725.1103422
1.336,729.1701687
1.344,725.9061089
1.352,714.8388994
1.36,703.3695504
1.368,698.7729946
1.376,699.2761503
1.384,692.3010636
1.392,700.8230156
1.4,716.704282
1.408,725.5251504
1.416,726.5384191
1.424,722.0190618
1.432,710.3715263
1.44,700.2410586
1.448,692.7382093
1.456,770.0996583
1.464,688.5605593
1.472,687.4003983
1.48,708.0868942
1.488,721.8380828
1.496,726.679156
1.504,724.3086688
1.512,718.1031634
1.52,705.4475468
1.528,696.6234194
1.536,696.049753
1.544,690.5522673
1.552,696.9200218
1.56,714.3409406
1.568,727.4854441
1.576,728.8046541
1.584,723.464162
1.592,713.3877749
1.6,702.5199406
1.608,698.8014417
1.616,693.9709721
1.624,690.7019761
1.632,704.8045565
1.64,719.7778339
1.648,727.2960324
1.656,726.007056
1.664,719.8514051
1.672,708.2296093
1.68,700.1248592
1.688,697.8267857
1.696,690.9086426
1.704,696.0186628
1.712,711.2678787
1.72,723.7523048
1.728,727.3107068
1.736,723.6823671
1.744,715.4514802
1.752,704.2056404
1.76,699.2277041
1.768,692.3808331
1.776,685.8378551
1.784,696.9907914
1.792,714.2064519
1.8,725.1250781
1.808,726.969703
1.816,722.4722774
1.824,713.3233263
1.832,702.4123789
1.84,697.3690754
1.848,692.3504097
1.856,689.0394205
1.864,703.2476369
1.872,718.9586142
1.88,727.3462665
1.888,726.2890778
1.896,720.5198974
1.904,709.1401323
1.912,700.4421659
1.92,694.7733569
1.928,689.1716336
1.936,685.4808776
1.944,702.9832664
1.952,718.5814518
1.96,726.6226824
1.968,725.7676768
1.976,720.2613688
1.984,709.0960241
1.992,699.8292196
2,693.9811151
2.008,689.8294015
2.016,688.5509652
2.024,705.1594431
2.032,720.9854532
2.04,727.8918195
2.048,725.4542167
2.056,719.0387551
2.064,707.412346
2.072,699.5093559
2.08,694.364254
2.088,687.9899291
2.096,695.0497848
2.104,711.3384046
