Time,Angle
0.008,73.97381831
0.016,156.370569
0.024,171.6847928
0.032,168.9171347
0.04,162.2032806
0.048,146.8917602
0.056,140.627427
0.064,146.3717566
0.072,152.4040108
0.08,166.3678449
0.088,158.6645153
0.096,158.6371562
0.104,165.5072211
0.112,177.5721425
0.12,182.8868209
0.128,181.9773617
0.136,164.570375
0.144,177.3361098
0.152,193.5768575
0.16,219.5133049
0.168,288.7118404
0.176,354.1012877
0.184,350.708779
0.192,346.8770687
0.2,335.408785
0.208,314.7263606
0.216,315.0768131
0.224,321.1861514
0.232,343.7249575
0.24,335.49717
0.248,338.1102327
0.256,347.4648176
0.264,356.3688975
0.272,350.6218554
0.28,340.6721838
0.288,333.8621651
0.296,330.0563747
0.304,324.4998278
0.312,311.9826539
0.32,296.0150409
0.328,318.4015918
0.336,370.8083115
0.344,302.9944977
0.352,315.2883305
0.36,342.338785
0.368,342.1822723
0.376,419.6325803
0.384,366.9956741
0.392,333.1523375
0.4,318.4247687
0.408,316.6082497
0.416,327.0619094
0.424,345.4024036
0.432,358.1182205
0.44,365.539972
0.448,367.3041844
0.456,364.621691
0.464,358.978358
0.472,354.0623901
0.48,354.7213012
0.488,361.4442915
0.496,361.2806495
0.504,358.5554542
0.512,354.4447447
0.52,338.9859548
0.528,326.056582
0.536,385.2417722
0.544,335.0331044
0.552,323.7566847
0.56,326.2344622
0.568,339.7963292
0.576,342.8916027
0.584,340.6707061
0.592,353.9520094
0.6,360.9648577
0.608,371.2737279
0.616,433.1528549
0.624,510.9567181
0.632,534.5111505
0.64,534.7628373
0.648,532.5168443
0.656,510.1722719
0.664,497.1355401
0.672,495.6625931
0.68,421.8549786
0.688,373.1892345
0.696,336.7370111
0.704,331.6819344
0.712,339.141902
0.72,354.2639795
0.728,360.4336373
0.736,334.127853
0.744,348.2897693
0.752,361.7050373
0.76,378.0443626
0.768,424.4327152
0.776,495.6480552
0.784,532.9111097
0.792,529.4128989
0.8,522.6678205
0.808,510.4256181
0.816,506.464582
0.824,509.69991
0.832,507.9609208
0.84,564.5200152
0.848,519.8815372
0.856,511.0099798
0.864,513.1523809
0.872,528.3420868
0.88,545.0487485
0.888,586.3024854
0.896,526.869009
0.904,538.8730359
0.912,552.8892785
0.92,579.041702
0.928,648.8008195
0.936,709.9793483
0.944,709.8711282
0.952,707.8718213
0.96,698.7486267
0.968,681.1343993
0.976,682.3105081
0.984,684.7480336
0.992,740.8362715
1,701.5444949
1.008,695.0667148
1.016,698.6493558
1.024,709.9286293
1.032,722.3752036
1.04,720.9926156
1.048,750.4188095
1.056,695.6533634
