Time,Angle
0.008,69.14245201
0.016,-18.19599768
0.024,25.26539403
0.032,30.30388454
0.04,21.05525585
0.048,7.069261746
0.056,-8.865261148
0.064,-19.17897717
0.072,-18.78293077
0.08,-9.336285795
0.088,-7.038672979
0.096,-4.6657309
0.104,4.193343759
0.112,15.92964653
0.12,40.07767847
0.128,-36.28076138
0.136,6.50208343
0.144,29.21992898
0.152,24.79763721
0.16,12.1510834
0.168,-4.094033842
0.176,-16.68764432
0.184,-19.06222407
0.192,-9.693509129
0.2,-4.732879481
0.208,-6.124888751
0.216,0.482013206
0.224,9.048029508
0.232,26.59369336
0.24,78.00310797
0.248,166.6805582
0.256,202.6309355
0.264,208.221425
0.272,198.5871546
0.28,182.9997698
0.288,166.6316632
0.296,160.0610734
0.304,164.7950769
0.312,174.9526958
0.32,175.5789505
0.328,176.9963847
0.336,184.1180238
0.344,192.775749
0.352,216.7513499
0.36,280.1750142
0.368,358.9378033
0.376,386.5791393
0.384,386.2515007
0.392,374.9956487
0.4,357.4135998
0.408,344.0726528
0.416,341.4660016
0.424,350.4730575
0.432,358.1821269
0.44,356.640889
0.448,360.2706444
0.456,367.1126507
0.464,377.7666926
0.472,408.7400453
0.48,333.0293712
0.488,371.3132782
0.496,388.1726503
0.504,382.6592017
0.512,368.8409943
0.52,350.7599197
0.528,340.5107985
0.536,339.6515128
0.544,353.1591682
0.552,353.9194285
0.56,356.0412962
0.568,366.2189185
0.576,377.8131038
0.584,409.7579021
0.592,324.9464463
0.6,371.7229996
0.608,390.447299
0.616,384.971957
0.624,372.1735657
0.632,355.32858
0.64,342.4285295
0.648,340.0516141
0.656,349.0851143
0.664,355.8993815
0.672,356.7611336
0.68,360.2598955
0.688,367.7689188
0.696,379.7280362
0.704,408.451917
0.712,341.5321322
0.72,373.759402
0.728,388.3450745
0.736,381.5026985
0.744,367.6586498
0.752,350.2445491
0.76,340.7630842
0.768,341.1739561
0.776,354.9819359
0.784,353.689728
0.792,356.5135826
0.8,366.4748625
0.808,379.6953122
0.816,422.2720933
0.824,338.9710821
0.832,380.7171381
0.84,391.5915762
0.848,382.4882643
0.856,368.1946862
0.864,351.2451714
0.872,339.1782053
0.88,337.1262664
0.888,347.1733884
0.896,349.638731
0.904,354.9446262
0.912,364.8363505
0.92,378.9406888
0.928,407.6242238
0.936,329.1740743
0.944,375.9199722
0.952,390.5246324
0.96,384.1474138
0.968,371.0181254
0.976,355.2011767
0.984,343.679033
0.992,343.0186801
1,351.583177
1.008,356.900183
1.016,356.7522162
1.024,359.3293959
1.032,366.0947511
1.04,379.345679
1.048,410.0489231
1.056,337.9282434
1.064,371.9299038
1.072,388.2441898
1.08,382.0015458
1.088,367.801253
1.096,350.4125626
1.104,341.5504493
1.112,343.7543678
1.12,355.8651651
1.128,357.9636953
1.136,355.6803103
1.144,360.0654454
1.152,366.0929041
1.16,383.1187573
1.168,412.8845454
1.176,331.2397484
1.184,356.7134219
1.192,387.5794649
1.2,382.8055425
1.208,367.4971261
1.216,350.334779
1.224,342.2907076
1.232,345.6713315
1.24,356.6529828
1.248,360.2021829
1.256,357.7824447
1.264,362.3064038
1.272,366.1809863
1.28,381.0807644
1.288,413.0463359
1.296,496.387904
1.304,553.3815625
1.312,567.5982944
1.32,561.1578501
1.328,545.6248479
1.336,528.1531098
1.344,520.1665602
1.352,522.1291173
1.36,536.1110775
1.368,534.8452389
1.376,538.945548
1.384,547.9091068
1.392,558.2793025
1.4,593.7702298
1.408,513.734514
1.416,557.2072532
1.424,570.3920049
1.432,563.2654125
1.44,549.6435146
1.448,531.8856197
1.456,519.8851301
1.464,515.9074954
1.472,527.3813918
1.48,528.6444436
1.488,535.4912156
1.496,547.7181321
1.504,561.9843955
1.512,603.3548854
1.52,520.4741717
1.528,565.6519147
1.536,571.0441205
1.544,561.7219408
1.552,548.0108475
1.56,532.384897
1.568,521.7670502
1.576,521.4494985
1.584,529.7432946
1.592,531.985204
1.6,534.6968585
1.608,544.2268338
1.616,556.7398218
1.624,581.9406594
1.632,513.6424189
1.64,552.8381777
1.648,571.1251438
1.656,564.2352158
1.664,550.9547403
1.672,534.7359091
1.68,522.4212023
1.688,520.6722274
1.696,530.4002049
1.704,533.3450804
1.712,533.7143343
1.72,541.5463464
1.728,551.0574302
1.736,572.3798192
1.744,637.302628
1.752,715.0489339
1.76,748.9327653
1.768,747.842891
1.776,736.9647659
1.784,720.8741732
1.792,705.7875663
1.8,701.5656399
1.808,708.4724559
1.816,716.7062312
1.824,718.9305071
1.832,717.6462436
1.84,722.329062
1.848,727.9798654
1.856,746.8420336
1.864,784.4000152
1.872,709.653792
1.88,738.0857221
1.888,747.4588025
1.896,738.4653754
1.904,721.7509635
1.912,706.1090164
1.92,701.8029331
1.928,708.4612432
1.936,719.0213877
1.944,717.6338339
1.952,717.336508
1.96,723.3148851
1.968,730.5311726
1.976,755.0917288
1.984,800.8268323
1.992,868.7047387
2,924.6472922
2.008,927.150798
2.016,916.583207
2.024,898.6695534
2.032,884.2352793
2.04,880.7986629
2.048,889.1399947
2.056,898.0295501
2.064,896.399263
2.072,901.0042737
2.08,908.1325468
2.088,918.3455203
2.096,951.1015927
2.104,876.7317308
2.112,914.7247951
2.12,928.9719103
2.128,922.4796109
2.136,908.5995664
2.144,890.3835824
2.152,880.2046424
2.16,879.235854
2.168,892.829507
2.176,894.0993375
2.184,896.3260476
2.192,906.1421492
2.2,918.0078072
2.208,947.8493497
2.216,862.5454715
2.224,909.7093949
2.232,930.6168942
2.24,925.0050682
2.248,912.4993303
2.256,895.3692426
2.264,882.3035761
2.272,879.3767193
2.28,888.5415673
2.288,894.3506366
2.296,894.4516111
2.304,901.6257414
2.312,910.8273989
2.32,925.7554678
2.328,973.8307466
2.336,893.8080627
2.344,925.4408753
2.352,928.4890826
2.36,918.3141638
2.368,903.1387518
2.376,886.6636841
2.384,880.0120649
2.392,884.5228624
2.4,895.8264784
2.408,894.9969997
2.416,897.0050062
2.424,904.1610592
2.432,915.3205202
2.44,942.753303
2.448,1016.458777
2.456,1084.242736
2.464,1108.363216
2.472,1106.158376
2.48,1094.398405
2.488,1076.754475
2.496,1063.919557
2.504,1062.65271
2.512,1072.139045
2.52,1079.505704
2.528,1080.772829
2.536,1079.181745
2.544,1083.471787
2.552,1088.095045
2.56,1107.856176
2.568,1149.598555
2.576,1075.420182
2.584,1099.234554
2.592,1106.69555
2.6,1096.150258
2.608,1078.556791
2.616,1063.955307
2.624,1060.341542
2.632,1068.585138
2.64,1078.748202
2.648,1074.38429
2.656,1080.787625
2.664,1088.614589
2.672,1104.562523
2.68,1157.335573
2.688,1240.819158
2.696,1285.274241
2.704,1289.25543
2.712,1280.162473
2.72,1264.463199
2.728,1246.757033
2.736,1238.122493
2.744,1238.806955
2.752,1249.795317
2.76,1249.922198
2.768,1258.476822
2.776,1269.863337
2.784,1282.76385
2.792,1322.326906
2.8,1244.50304
2.808,1285.720403
2.816,1289.773016
2.824,1281.134799
2.832,1267.373879
2.84,1251.181622
2.848,1241.541131
2.856,1242.912425
2.864,1253.207901
2.872,1256.380411
2.88,1256.007215
2.888,1262.280736
2.896,1270.148981
2.904,1287.587111
2.912,1329.865297
2.92,1248.120104
2.928,1281.811181
2.936,1287.603685
2.944,1279.02243
2.952,1263.382958
2.96,1247.322779
2.968,1242.156352
2.976,1247.911877
2.984,1257.74923
2.992,1258.425853
3,1256.966488
3.008,1262.991399
3.016,1269.587603
3.024,1290.172789
3.032,1336.53141
3.04,1252.519618
3.048,1281.585417
3.056,1286.989471
3.064,1277.027567
3.072,1259.748831
3.08,1244.608388
3.088,1240.328901
3.096,1247.375291
3.104,1257.55491
3.112,1254.301501
3.12,1260.533919
3.128,1268.841832
3.136,1281.975334
3.144,1329.216186
3.152,1241.700843
3.16,1282.538412
3.168,1289.470401
3.176,1281.045316
3.184,1266.247902
3.192,1248.273084
3.2,1239.079031
3.208,1239.092722
3.216,1251.581842
3.224,1252.131212
3.232,1256.835025
3.24,1267.064939
3.248,1280.2184
3.256,1311.989649
3.264,1232.692789
3.272,1276.971851
3.28,1290.299389
3.288,1283.622847
3.296,1270.526373
3.304,1253.649944
3.312,1241.885293
3.32,1240.919486
