Time ,Angle 
0.033333333,81.74330814
0.066666667,84.28535561
0.1,82.42295798
0.133333333,73.26313081
0.166666667,67.20935403
0.2,65.23193725
0.233333333,68.35600237
0.266666667,79.42879747
0.3,95.15335812
0.333333333,102.1367722
0.366666667,98.47200078
0.4,88.83465205
0.433333333,78.44882927
0.466666667,68.66596142
0.5,60.61996925
0.533333333,57.81672707
0.566666667,61.82796458
0.6,67.20507109
0.633333333,71.80075641
0.666666667,74.6688004
0.7,77.26411649
0.733333333,77.6311897
0.766666667,74.05790588
0.8,70.39586718
0.833333333,68.13763372
0.866666667,70.64921896
0.9,82.58726968
0.933333333,99.0028035
0.966666667,110.4885014
1,105.0617424
1.033333333,94.06451173
1.066666667,80.88114582
1.1,67.60996553
1.133333333,59.08201421
1.166666667,54.45923623
1.2,56.55790576
1.233333333,62.12298257
1.266666667,67.80412248
1.3,70.84724472
1.333333333,74.31159733
1.366666667,76.47665938
1.4,75.33335691
1.433333333,70.52633798
1.466666667,67.8631439
1.5,68.00109266
1.533333333,73.49652649
1.566666667,89.09259758
1.6,107.6829953
1.633333333,108.8757936
1.666666667,103.5820297
1.7,89.84100547
1.733333333,75.68057577
1.766666667,64.43959477
1.8,55.62027415
1.833333333,53.45555934
1.866666667,56.87570683
1.9,61.2838756
1.933333333,65.77284139
1.966666667,67.03744079
2,69.51366725
2.033333333,70.33486925
2.066666667,68.61570345
2.1,67.55869847
2.133333333,67.58466346
2.166666667,72.44064695
2.2,85.21436427
2.233333333,104.3709377
2.266666667,112.4203001
2.3,109.4519986
2.333333333,96.88441025
2.366666667,80.05141123
2.4,65.20044487
2.433333333,55.83521441
2.466666667,51.0856971
2.5,53.16295377
2.533333333,59.27496184
2.566666667,66.13549605
2.6,69.58900042
2.633333333,73.36390729
2.666666667,76.06907303
2.7,75.44848728
2.733333333,69.98957591
2.766666667,67.02534139
2.8,66.9574524
2.833333333,71.97297917
2.866666667,87.40839613
2.9,107.7907968
2.933333333,110.2673947
2.966666667,105.8157631
3,92.24201847
3.033333333,77.63451105
3.066666667,65.02646742
3.1,54.42940753
3.133333333,51.01350321
3.166666667,55.07940835
3.2,62.41338405
3.233333333,71.80039035
3.266666667,80.27929327
3.3,87.57349815
3.333333333,92.29164518
3.366666667,90.13972422
3.4,78.12960522
3.433333333,68.87145128
3.466666667,64.46517671
3.5,65.1545801
3.533333333,74.44505707
3.566666667,87.24981369
3.6,96.38382785
3.633333333,98.61295278
3.666666667,93.81217639
3.7,85.10786799
3.733333333,72.98926802
3.766666667,63.59435832
3.8,58.18829338
3.833333333,59.94352942
3.866666667,65.47426489
3.9,72.75493874
3.933333333,81.87482936
3.966666667,88.34058858
4,91.88754038
4.033333333,89.31708978
4.066666667,78.63232715
4.1,69.77790409
4.133333333,65.00170524
4.166666667,65.74894374
4.2,74.65803462
4.233333333,85.29266932
