Time 351,Angle 351
2.54,-4.130162383
2.55,-4.144341243
2.56,-4.158659117
2.57,-4.173118269
2.58,-4.187720797
2.59,-4.202468644
2.6,-4.21736358
2.61,-4.232407205
2.62,-4.24760095
2.63,-4.262946069
2.64,-4.278443638
2.65,-4.294094557
2.66,-4.309899549
2.67,-4.325859156
2.68,-4.341973746
2.69,-4.358243508
2.7,-4.374668461
2.71,-4.391248449
2.72,-4.40798315
2.73,-4.424872075
2.74,-4.441914578
2.75,-4.459109851
2.76,-4.476456939
2.77,-4.493954737
2.78,-4.511602001
2.79,-4.529397347
2.8,-4.547339262
2.81,-4.565426109
2.82,-4.583656128
2.83,-4.602027446
2.84,-4.62053808
2.85,-4.63918594
2.86,-4.657968839
2.87,-4.67688449
2.88,-4.695930514
2.89,-4.715104443
2.9,-4.734403722
2.91,-4.753825711
2.92,-4.773367684
2.93,-4.793026835
2.94,-4.812800275
2.95,-4.832685032
2.96,-4.85267805
2.97,-4.872776187
2.98,-4.892976214
2.99,-4.913274814
3,-4.933668575
3.01,-4.954153987
3.02,-4.974727442
3.03,-4.995385226
3.04,-5.016123517
3.05,-5.036938377
3.06,-5.057825754
3.07,-5.078781469
3.08,-5.099801221
3.09,-5.120880574
3.1,-5.142014962
3.11,-5.163199679
3.12,-5.184429881
3.13,-5.205700582
3.14,-5.227006654
3.15,-5.248342827
3.16,-5.269703691
3.17,-5.291083695
3.18,-5.312477153
3.19,-5.333878247
3.2,-5.35528103
3.21,-5.376679436
3.22,-5.398067286
3.23,-5.419438293
3.24,-5.440786073
3.25,-5.46210416
3.26,-5.483386004
3.27,-5.504624994
3.28,-5.525814464
3.29,-5.5469477
3.3,-5.568017964
3.31,-5.589018493
3.32,-5.609942514
3.33,-5.630783257
3.34,-5.651533958
3.35,-5.67218788
3.36,-5.692738316
3.37,-5.713178596
3.38,-5.733502093
3.39,-5.753702231
3.4,-5.773772492
3.41,-5.793706419
3.42,-5.813497619
3.43,-5.833139766
3.44,-5.852626602
3.45,-5.871951937
3.46,-5.891109653
3.47,-5.910093698
3.48,-5.928898091
3.49,-5.947516915
3.5,-5.965944318
3.51,-5.98417451
3.52,-6.002201762
3.53,-6.020020399
3.54,-6.037624806
3.55,-6.055009415
3.56,-6.072168713
3.57,-6.08909723
3.58,-6.105789547
3.59,-6.122240285
3.6,-6.138444112
3.61,-6.154395737
3.62,-6.170089911
3.63,-6.185521428
3.64,-6.200685124
3.65,-6.215575881
3.66,-6.230188624
3.67,-6.244518327
3.68,-6.258560012
3.69,-6.272308757
3.7,-6.285759691
3.71,-6.298908007
3.72,-6.311748959
3.73,-6.324277869
3.74,-6.336490131
3.75,-6.348381217
3.76,-6.359946681
3.77,-6.371182163
3.78,-6.382083396
3.79,-6.392646213
3.8,-6.402866546
3.81,-6.41274044
3.82,-6.422264051
3.83,-6.431433657
3.84,-6.440245657
3.85,-6.448696582
3.86,-6.456783098
3.87,-6.464502009
3.88,-6.471850262
3.89,-6.478824954
3.9,-6.485423332
3.91,-6.491642801
3.92,-6.497480924
3.93,-6.502935429
3.94,-6.508004207
3.95,-6.512685321
3.96,-6.516977004
3.97,-6.520877663
3.98,-6.524385883
3.99,-6.527500426
4,-6.530220233
4.01,-6.532544426
4.02,-6.534472312
4.03,-6.536003381
4.04,-6.537137309
4.05,-6.537873958
4.06,-6.538213374
4.07,-6.538155791
4.08,-6.53770163
4.09,-6.536851499
4.1,-6.535606195
4.11,-6.533966702
4.12,-6.531934188
4.13,-6.529510009
4.14,-6.526695707
4.15,-6.523493006
4.16,-6.519903816
4.17,-6.515930228
4.18,-6.511574513
4.19,-6.50683912
4.2,-6.501726677
4.21,-6.496239984
4.22,-6.490382014
4.23,-6.484155908
4.24,-6.477564973
4.25,-6.47061268
4.26,-6.463302657
4.27,-6.455638687
4.28,-6.447624705
4.29,-6.439264793
4.3,-6.430563172
4.31,-6.421524203
4.32,-6.412152376
4.33,-6.40245231
4.34,-6.392428743
4.35,-6.38208653
4.36,-6.371430636
4.37,-6.360466127
4.38,-6.349198171
4.39,-6.337632028
4.4,-6.325773043
4.41,-6.313626643
4.42,-6.301198331
4.43,-6.288493683
4.44,-6.275518337
4.45,-6.262277994
4.46,-6.24877841
4.47,-6.235025396
4.48,-6.221024809
4.49,-6.206782553
4.5,-6.192304573
4.51,-6.177596856
4.52,-6.162665427
4.53,-6.147516347
4.54,-6.132155714
4.55,-6.116589661
4.56,-6.100824358
4.57,-6.084866012
4.58,-6.068720864
4.59,-6.052395197
4.6,-6.035895334
4.61,-6.019227643
4.62,-6.002398532
4.63,-5.985414463
4.64,-5.968281946
4.65,-5.951007546
4.66,-5.933597884
4.67,-5.91605964
4.68,-5.898399561
4.69,-5.880624454
4.7,-5.862741192
4.71,-5.844756723
4.72,-5.826678063
4.73,-5.808512297
4.74,-5.790266581
4.75,-5.771948137
4.76,-5.753564259
4.77,-5.735122306
4.78,-5.716629703
4.79,-5.698093929
4.8,-5.679522519
4.81,-5.660923051
4.82,-5.642303144
4.83,-5.62367045
4.84,-5.605032647
4.85,-5.586397425
4.86,-5.567772482
4.87,-5.549165506
4.88,-5.530584171
4.89,-5.512036124
4.9,-5.493528973
4.91,-5.475070276
4.92,-5.456667532
4.93,-5.438328166
4.94,-5.420059523
4.95,-5.401868853
4.96,-5.383763307
4.97,-5.365749923
4.98,-5.347835622
4.99,-5.330027197
5,-5.312331308
5.01,-5.294754479
5.02,-5.277303087
5.03,-5.259983363
5.04,-5.242801387
5.05,-5.225763085
5.06,-5.20887423
5.07,-5.192140439
5.08,-5.175567173
5.09,-5.159159739
5.1,-5.142923288
5.11,-5.126862822
5.12,-5.110983191
5.13,-5.095289096
5.14,-5.079785095
5.15,-5.064475603
5.16,-5.049364895
5.17,-5.03445711
5.18,-5.019756255
5.19,-5.005266203
5.2,-4.990990704
5.21,-4.976933389
5.22,-4.963097763
5.23,-4.949487212
5.24,-4.936105004
5.25,-4.922954292
5.26,-4.91003812
5.27,-4.897359427
5.28,-4.884921039
5.29,-4.872725674
5.3,-4.860775943
5.31,-4.849074354
5.32,-4.837623308
5.33,-4.826425103
5.34,-4.815481932
5.35,-4.804795884
5.36,-4.794368943
5.37,-4.784202988
5.38,-4.774299794
5.39,-4.764661028
5.4,-4.755288254
5.41,-4.746182927
5.42,-4.737346394
5.43,-4.728779896
5.44,-4.720484566
5.45,-4.712461423
5.46,-4.704711379
5.47,-4.697235239
5.48,-4.690033692
5.49,-4.683107319
5.5,-4.676456588
5.51,-4.670081859
5.52,-4.663983377
5.53,-4.658161277
5.54,-4.652615585
5.55,-4.647346215
5.56,-4.642352972
5.57,-4.637635551
5.58,-4.633193539
5.59,-4.629026416
5.6,-4.625133556
5.61,-4.621514228
5.62,-4.618167598
5.63,-4.615092729
5.64,-4.612288583
5.65,-4.609754027
5.66,-4.607487827
5.67,-4.605488656
5.68,-4.603755096
5.69,-4.602285637
5.7,-4.60107868
5.71,-4.600132542
5.72,-4.599445456
5.73,-4.599015573
5.74,-4.598840967
5.75,-4.598919636
5.76,-4.599249505
5.77,-4.59982843
5.78,-4.600654196
5.79,-4.601724528
5.8,-4.603037087
5.81,-4.604589475
5.82,-4.606379237
5.83,-4.608403868
5.84,-4.61066081
5.85,-4.61314746
5.86,-4.615861169
5.87,-4.618799248
5.88,-4.621958968
5.89,-4.625337568
5.9,-4.628932252
5.91,-4.632740193
5.92,-4.63675854
5.93,-4.640984418
5.94,-4.64541493
5.95,-4.65004716
5.96,-4.654878178
5.97,-4.65990504
5.98,-4.665124793
5.99,-4.670534475
6,-4.676131118
6.01,-4.681911755
6.02,-4.687873414
6.03,-4.694013129
6.04,-4.700327935
6.05,-4.706814875
6.06,-4.713471
6.07,-4.720293372
6.08,-4.727279065
6.09,-4.734425166
6.1,-4.74172878
6.11,-4.749187029
6.12,-4.756797053
6.13,-4.764556014
6.14,-4.772461094
6.15,-4.780509502
6.16,-4.788698468
6.17,-4.797025249
6.18,-4.805487128
6.19,-4.814081417
6.2,-4.822805456
6.21,-4.831656613
6.22,-4.840632287
6.23,-4.849729909
6.24,-4.858946938
6.25,-4.868280867
6.26,-4.877729222
6.27,-4.887289559
6.28,-4.896959468
6.29,-4.906736573
6.3,-4.916618531
6.31,-4.926603031
6.32,-4.936687798
6.33,-4.946870591
6.34,-4.957149201
6.35,-4.967521456
6.36,-4.977985215
6.37,-4.988538374
6.38,-4.999178863
6.39,-5.009904647
6.4,-5.020713724
6.41,-5.031604128
6.42,-5.04257393
6.43,-5.053621232
6.44,-5.064744174
6.45,-5.075940932
6.46,-5.087209715
6.47,-5.098548773
6.48,-5.109956387
6.49,-5.121430876
6.5,-5.132970598
6.51,-5.144573946
6.52,-5.156239353
6.53,-5.167965289
6.54,-5.179750265
6.55,-5.191592828
6.56,-5.203491568
6.57,-5.215445112
6.58,-5.22745213
6.59,-5.239511334
6.6,-5.251621477
6.61,-5.263781355
6.62,-5.27598981
6.63,-5.288245726
6.64,-5.300548031
6.65,-5.312895699
6.66,-5.325287752
6.67,-5.337723257
6.68,-5.350201326
6.69,-5.362721123
6.7,-5.375281857
6.71,-5.387882788
6.72,-5.400523221
6.73,-5.413202515
6.74,-5.425920075
6.75,-5.438675359
6.76,-5.451467872
6.77,-5.46429717
6.78,-5.477162859
6.79,-5.490064597
6.8,-5.503002088
6.81,-5.515975088
6.82,-5.528983403
6.83,-5.542026887
6.84,-5.555105442
6.85,-5.568219019
6.86,-5.581367615
6.87,-5.594551274
6.88,-5.607770086
6.89,-5.621024187
6.9,-5.634313758
6.91,-5.647639023
6.92,-5.661000247
6.93,-5.674397738
6.94,-5.687831845
6.95,-5.701302954
6.96,-5.714811493
6.97,-5.728357926
6.98,-5.741942752
6.99,-5.755566509
7,-5.769229766
7.01,-5.782933128
7.02,-5.796677231
7.03,-5.810462742
7.04,-5.824290363
7.05,-5.838160822
7.06,-5.852074877
7.07,-5.866033317
7.08,-5.880036959
7.09,-5.894086647
7.1,-5.908183253
7.11,-5.922327676
7.12,-5.936520847
7.13,-5.950763723
7.14,-5.965057283
7.15,-5.979402537
7.16,-5.993800523
7.17,-6.008252314
7.18,-6.022759008
7.19,-6.037321741
7.2,-6.051941678
7.21,-6.066620017
7.22,-6.081357993
7.23,-6.096156873
7.24,-6.111017966
7.25,-6.125942619
7.26,-6.140932226
7.27,-6.155988223
7.28,-6.171112096
7.29,-6.18630538
7.3,-6.201569658
7.31,-6.216906572
7.32,-6.232317819
7.33,-6.247805158
7.34,-6.263370411
7.35,-6.279015468
7.36,-6.294742287
7.37,-6.310552897
7.38,-6.326449404
7.39,-6.342433993
7.4,-6.358508927
7.41,-6.374676555
7.42,-6.390939312
7.43,-6.407299722
7.44,-6.423760395
7.45,-6.440324041
7.46,-6.456993458
7.47,-6.473771539
7.48,-6.490661273
7.49,-6.507665748
7.5,-6.524788139
7.51,-6.54203172
7.52,-6.559399851
7.53,-6.576895982
7.54,-6.594523645
7.55,-6.612286454
7.56,-6.63018809
7.57,-6.648232301
7.58,-6.666422889
7.59,-6.684763701
7.6,-6.703258614
7.61,-6.721911527
7.62,-6.740726337
7.63,-6.759706928
7.64,-6.778857149
7.65,-6.798180791
7.66,-6.817681566
7.67,-6.83736308
7.68,-6.857228804
7.69,-6.877282045
7.7,-6.897525918
7.71,-6.91796331
7.72,-6.938596846
7.73,-6.959428857
7.74,-6.980461339
7.75,-7.001695923
7.76,-7.023133835
7.77,-7.044775864
7.78,-7.066622331
7.79,-7.088673048
7.8,-7.110927307
7.81,-7.133383836
7.82,-7.156040797
7.83,-7.178895752
7.84,-7.201945668
7.85,-7.225186904
7.86,-7.248615213
7.87,-7.272225753
7.88,-7.296013097
7.89,-7.319971256
7.9,-7.344093711
7.91,-7.368373435
7.92,-7.392802938
7.93,-7.417374308
7.94,-7.442079261
7.95,-7.466909183
7.96,-7.491855192
7.97,-7.51690818
7.98,-7.542058876
7.99,-7.567297891
8,-7.592615772
8.01,-7.61800305
8.02,-7.643450283
8.03,-7.6689481
8.04,-7.69448724
8.05,-7.720058575
8.06,-7.74565315
8.07,-7.771262195
8.08,-7.796877152
8.09,-7.822489681
8.1,-7.848091673
8.11,-7.87367525
8.12,-7.899232771
8.13,-7.924756823
8.14,-7.950240215
8.15,-7.97567597
8.16,-8.001057313
8.17,-8.026377653
8.18,-8.051630574
8.19,-8.076809809
8.2,-8.101909234
8.21,-8.126922839
8.22,-8.151844718
8.23,-8.17666905
8.24,-8.201390082
8.25,-8.226002117
8.26,-8.250499494
8.27,-8.274876585
8.28,-8.299127779
8.29,-8.323247475
8.3,-8.347230081
8.31,-8.371070002
8.32,-8.394761644
8.33,-8.418299417
8.34,-8.441677731
8.35,-8.464891003
8.36,-8.487933667
8.37,-8.510800177
8.38,-8.533485016
8.39,-8.555982712
8.4,-8.578287838
8.41,-8.600395037
