Time 451,Angle 451
0,0
0.01,-0.00015357
0.02,-0.000613679
0.03,-0.001379446
0.04,-0.00245004
0.05,-0.003824657
0.06,-0.005502528
0.07,-0.007482917
0.08,-0.009765124
0.09,-0.012348479
0.1,-0.015232347
0.11,-0.018416126
0.12,-0.021899249
0.13,-0.025681182
0.14,-0.029761424
0.15,-0.034139513
0.16,-0.038815015
0.17,-0.043787536
0.18,-0.049056716
0.19,-0.05462223
0.2,-0.06048379
0.21,-0.066641146
0.22,-0.073094083
0.23,-0.079842426
0.24,-0.086886038
0.25,-0.09422482
0.26,-0.101858715
0.27,-0.109787704
0.28,-0.118011811
0.29,-0.126531101
0.3,-0.135345708
0.31,-0.144455727
0.32,-0.153861378
0.33,-0.163562898
0.34,-0.173560565
0.35,-0.183854702
0.36,-0.194445675
0.37,-0.205333892
0.38,-0.216519802
0.39,-0.228003895
0.4,-0.239786701
0.41,-0.251868785
0.42,-0.264250746
0.43,-0.276933215
0.44,-0.289916849
0.45,-0.303202328
0.46,-0.316790347
0.47,-0.330681611
0.48,-0.34487683
0.49,-0.359376704
0.5,-0.374181918
0.51,-0.389293133
0.52,-0.404710964
0.53,-0.420435974
0.54,-0.436468653
0.55,-0.452809407
0.56,-0.46945853
0.57,-0.486416189
0.58,-0.503682401
0.59,-0.521257004
0.6,-0.539139634
0.61,-0.557329698
0.62,-0.575826341
0.63,-0.594628418
0.64,-0.613734462
0.65,-0.633142651
0.66,-0.652850776
0.67,-0.672856209
0.68,-0.693155871
0.69,-0.713746201
0.7,-0.734623131
0.71,-0.75578206
0.72,-0.777217827
0.73,-0.798924699
0.74,-0.820896356
0.75,-0.843125885
0.76,-0.865605774
0.77,-0.888327924
0.78,-0.911283655
0.79,-0.93446373
0.8,-0.957858377
0.81,-0.981457328
0.82,-1.005249852
0.83,-1.029224807
0.84,-1.05337069
0.85,-1.077675688
0.86,-1.102127746
0.87,-1.126714621
0.88,-1.151423953
0.89,-1.176243318
0.9,-1.201160303
0.91,-1.226162551
0.92,-1.251237836
0.93,-1.276374099
0.94,-1.301559512
0.95,-1.32678251
0.96,-1.352031836
0.97,-1.377296571
0.98,-1.402566165
0.99,-1.427830452
1,-1.453079669
1.01,-1.47830447
1.02,-1.503495926
1.03,-1.528645528
1.04,-1.553745188
1.05,-1.578787227
1.06,-1.603764373
1.07,-1.628669746
1.08,-1.653496845
1.09,-1.678239528
1.1,-1.702892009
1.11,-1.727448833
1.12,-1.751904857
1.13,-1.776255239
1.14,-1.800495423
1.15,-1.824621117
1.16,-1.848628284
1.17,-1.872513125
1.18,-1.89627207
1.19,-1.919901762
1.2,-1.94339905
1.21,-1.966760979
1.22,-1.989984783
1.23,-2.013067878
1.24,-2.036007858
1.25,-2.058802488
1.26,-2.081449707
1.27,-2.103947619
1.28,-2.126294495
1.29,-2.148488775
1.3,-2.170529065
1.31,-2.192414136
1.32,-2.21414293
1.33,-2.235714557
1.34,-2.257128296
1.35,-2.2783836
1.36,-2.299480093
1.37,-2.32041757
1.38,-2.341196002
1.39,-2.361815534
1.4,-2.382276481
1.41,-2.402579333
1.42,-2.422724747
1.43,-2.442713555
1.44,-2.462546748
1.45,-2.482225489
1.46,-2.501751095
1.47,-2.521125043
1.48,-2.540348965
1.49,-2.559424638
1.5,-2.578353987
1.51,-2.597139075
1.52,-2.6157821
1.53,-2.63428539
1.54,-2.652651397
1.55,-2.670882695
1.56,-2.68898197
1.57,-2.70695202
1.58,-2.724795745
1.59,-2.742516148
1.6,-2.760116327
1.61,-2.777599471
1.62,-2.794968856
1.63,-2.812227841
1.64,-2.829379867
1.65,-2.84642845
1.66,-2.863377181
1.67,-2.880229721
1.68,-2.896989799
1.69,-2.913661213
1.7,-2.930247823
1.71,-2.946753554
1.72,-2.963182391
1.73,-2.979538383
1.74,-2.995825638
1.75,-3.012048322
1.76,-3.028210664
1.77,-3.044316949
1.78,-3.060371525
1.79,-3.0763788
1.8,-3.09234324
1.81,-3.108269377
1.82,-3.124161804
1.83,-3.140025178
1.84,-3.15586422
1.85,-3.17168372
1.86,-3.187488535
1.87,-3.203283591
1.88,-3.219073887
1.89,-3.234864493
1.9,-3.250660554
1.91,-3.266467292
1.92,-3.282290005
1.93,-3.298134072
1.94,-3.314004952
1.95,-3.329908184
1.96,-3.345849393
1.97,-3.361834286
1.98,-3.377868656
1.99,-3.393958377
2,-3.410109414
2.01,-3.426327812
2.02,-3.442619701
2.03,-3.458991295
2.04,-3.475448885
2.05,-3.491998846
2.06,-3.508647623
2.07,-3.525401733
2.08,-3.542267761
2.09,-3.559252351
2.1,-3.576362202
2.11,-3.593604055
2.12,-3.610984693
2.13,-3.628510922
2.14,-3.646189562
2.15,-3.664027435
2.16,-3.682031351
2.17,-3.70020809
2.18,-3.7185644
2.19,-3.737106907
2.2,-3.755842204
2.21,-3.774776752
2.22,-3.79391688
2.23,-3.813268748
2.24,-3.832838331
2.25,-3.85263138
2.26,-3.872653405
2.27,-3.892909627
2.28,-3.913404955
2.29,-3.934143959
2.3,-3.955130836
2.31,-3.976369374
2.32,-3.997862929
2.33,-4.019614393
2.34,-4.04162617
2.35,-4.063900155
2.36,-4.086437708
2.37,-4.109239647
2.38,-4.13230623
2.39,-4.155637148
2.4,-4.179231526
2.41,-4.203087924
2.42,-4.227204343
2.43,-4.251578242
2.44,-4.276206551
2.45,-4.301085698
2.46,-4.326211635
2.47,-4.351579864
2.48,-4.377185476
2.49,-4.403023183
2.5,-4.429087362
2.51,-4.455372087
2.52,-4.481871167
2.53,-4.50857818
2.54,-4.535486519
2.55,-4.562589424
2.56,-4.589880005
2.57,-4.617351272
2.58,-4.644996164
2.59,-4.672807561
2.6,-4.700778305
2.61,-4.728901209
2.62,-4.757169059
2.63,-4.785574621
2.64,-4.814110635
2.65,-4.842769814
2.66,-4.871544825
2.67,-4.900428285
2.68,-4.929412741
2.69,-4.958490652
2.7,-4.987654371
2.71,-5.016896127
2.72,-5.046208002
2.73,-5.075581911
2.74,-5.105009589
2.75,-5.134482569
2.76,-5.163992171
2.77,-5.193529494
2.78,-5.223085402
2.79,-5.25265053
2.8,-5.282215281
2.81,-5.311769831
2.82,-5.341304147
2.83,-5.370807993
2.84,-5.400270959
2.85,-5.429682482
2.86,-5.459031868
2.87,-5.48830833
2.88,-5.517501014
2.89,-5.546599033
2.9,-5.575591501
2.91,-5.604467562
2.92,-5.633216424
2.93,-5.661827381
2.94,-5.690289846
2.95,-5.718593364
2.96,-5.746727637
2.97,-5.774682528
2.98,-5.802448083
2.99,-5.830014525
3,-5.85737226
3.01,-5.884511873
3.02,-5.911424125
3.03,-5.938099942
3.04,-5.964530405
3.05,-5.990706737
3.06,-6.016620292
3.07,-6.042262535
3.08,-6.067625035
3.09,-6.092699444
3.1,-6.117477488
3.11,-6.141950954
3.12,-6.166111665
3.13,-6.189951489
3.14,-6.213462329
3.15,-6.236636119
3.16,-6.259464807
3.17,-6.281940354
3.18,-6.304054752
3.19,-6.32580002
3.2,-6.347168205
3.21,-6.368151393
3.22,-6.38874172
3.23,-6.408931381
3.24,-6.428712647
3.25,-6.448077876
3.26,-6.467019531
3.27,-6.485530194
3.28,-6.503602588
3.29,-6.521229589
3.3,-6.538404248
3.31,-6.555119805
3.32,-6.571369708
3.33,-6.587147628
3.34,-6.602447475
3.35,-6.617263412
3.36,-6.631589866
3.37,-6.645421542
3.38,-6.658753433
3.39,-6.671580824
3.4,-6.683899303
3.41,-6.695704763
3.42,-6.706993411
3.43,-6.71776176
3.44,-6.728006641
3.45,-6.737725192
3.46,-6.746914864
3.47,-6.75557341
3.48,-6.763698888
3.49,-6.771289653
3.5,-6.778344348
3.51,-6.784861905
3.52,-6.790841532
3.53,-6.79628271
3.54,-6.801185186
3.55,-6.805548963
3.56,-6.809374296
3.57,-6.812661688
3.58,-6.815411879
3.59,-6.817625843
3.6,-6.819304785
3.61,-6.820450131
3.62,-6.821063532
3.63,-6.821146852
3.64,-6.820702173
3.65,-6.819731787
3.66,-6.818238201
3.67,-6.81622413
3.68,-6.8136925
3.69,-6.810646449
3.7,-6.807089325
3.71,-6.803024692
3.72,-6.798456324
3.73,-6.793388215
3.74,-6.787824576
3.75,-6.781769836
3.76,-6.775228648
3.77,-6.768205889
3.78,-6.760706659
3.79,-6.752736285
3.8,-6.744300321
3.81,-6.735404548
3.82,-6.726054972
3.83,-6.716257824
3.84,-6.706019559
3.85,-6.695346848
3.86,-6.684246579
3.87,-6.672725851
3.88,-6.660791963
3.89,-6.648452414
3.9,-6.635714889
3.91,-6.622587252
3.92,-6.609077534
3.93,-6.595193927
3.94,-6.580944765
3.95,-6.566338515
3.96,-6.551383762
3.97,-6.5360892
3.98,-6.520463612
3.99,-6.504515856
4,-6.488254854
4.01,-6.471689576
4.02,-6.454829027
4.03,-6.43768223
4.04,-6.420258215
4.05,-6.40256601
4.06,-6.384614622
4.07,-6.366413032
4.08,-6.347970183
4.09,-6.329294972
4.1,-6.31039624
4.11,-6.291282771
4.12,-6.27196328
4.13,-6.252446414
4.14,-6.232740747
4.15,-6.21285478
4.16,-6.192796937
4.17,-6.172575569
4.18,-6.152198956
4.19,-6.131675305
4.2,-6.111012757
4.21,-6.090219389
4.22,-6.06930322
4.23,-6.048272215
4.24,-6.02713429
4.25,-6.005897314
4.26,-5.984569121
