Time 31,Angle 31
0,0
0.01,-0.000153572
0.02,-0.000613687
0.03,-0.001379491
0.04,-0.002450185
0.05,-0.003825014
0.06,-0.005503272
0.07,-0.007484298
0.08,-0.009767482
0.09,-0.012352258
0.1,-0.01523811
0.11,-0.018424569
0.12,-0.021911217
0.13,-0.025697681
0.14,-0.029783639
0.15,-0.03416882
0.16,-0.038853001
0.17,-0.043836011
0.18,-0.049117733
0.19,-0.054698099
0.2,-0.060577097
0.21,-0.066754769
0.22,-0.073231211
0.23,-0.080006579
0.24,-0.087081082
0.25,-0.094454993
0.26,-0.102128642
0.27,-0.110102422
0.28,-0.118376788
0.29,-0.12695226
0.3,-0.135829422
0.31,-0.145008928
0.32,-0.154491497
0.33,-0.164277941
0.34,-0.174369077
0.35,-0.184765858
0.36,-0.195469286
0.37,-0.206480438
0.38,-0.217800462
0.39,-0.22943058
0.4,-0.241372084
0.41,-0.253626339
0.42,-0.266194779
0.43,-0.279078905
0.44,-0.292280281
0.45,-0.305800533
0.46,-0.319641341
0.47,-0.333804436
0.48,-0.348291589
0.49,-0.363104606
0.5,-0.378245317
0.51,-0.393715561
0.52,-0.409517179
0.53,-0.425651991
0.54,-0.442121782
0.55,-0.458928282
0.56,-0.476073142
0.57,-0.493557911
0.58,-0.511384008
0.59,-0.529552689
0.6,-0.548065017
0.61,-0.566921827
0.62,-0.586123685
0.63,-0.60567085
0.64,-0.625563231
0.65,-0.645800344
0.66,-0.666381265
0.67,-0.687304586
0.68,-0.708568369
0.69,-0.730170106
0.7,-0.752106663
0.71,-0.774374262
0.72,-0.79696842
0.73,-0.819883942
0.74,-0.84311488
0.75,-0.866654523
0.76,-0.890495387
0.77,-0.91462921
0.78,-0.939046974
0.79,-0.963738906
0.8,-0.988694523
0.81,-1.013902668
0.82,-1.039351554
0.83,-1.065028826
0.84,-1.090921626
0.85,-1.117016669
0.86,-1.143300315
0.87,-1.169758652
0.88,-1.196377582
0.89,-1.223142901
0.9,-1.250040379
0.91,-1.27705584
0.92,-1.304175234
0.93,-1.33138471
0.94,-1.358670673
0.95,-1.386019829
0.96,-1.413419242
0.97,-1.440856369
0.98,-1.46831909
0.99,-1.49579572
