Time,Angle
0.008,-28.59068172
0.016,-5.236629463
0.024,7.157068526
0.032,65.92049954
0.04,142.3991605
0.048,220.6582865
0.056,208.6744178
0.064,215.6058431
0.072,196.9684804
0.08,179.1313516
0.088,167.0006551
0.096,143.2366693
0.104,104.0280937
0.112,47.78016657
0.12,36.07982429
0.128,14.22016897
0.136,18.16033856
0.144,-12.28389952
0.152,-32.61643694
0.16,-40.02366109
0.168,-81.74624192
0.176,-55.56859483
0.184,-8.638853558
0.192,20.96702446
0.2,28.63900958
0.208,15.57899915
0.216,38.76037091
0.224,75.63826912
0.232,141.3412263
0.24,172.9895266
0.248,192.9733145
0.256,212.6475578
0.264,208.2471153
0.272,211.2107597
0.28,222.6077462
0.288,221.6290925
0.296,205.0893371
0.304,181.269411
0.312,153.8333557
0.32,114.184455
0.328,100.4825447
0.336,40.20450899
0.344,19.51391767
0.352,30.95643908
0.36,42.87021972
0.368,62.55484285
0.376,79.45588009
0.384,100.5869245
0.392,180.0205474
0.4,208.589054
0.408,174.3918745
0.416,187.1798434
0.424,195.0140506
0.432,193.8701796
0.44,210.3797025
0.448,181.8494764
0.456,156.0226467
0.464,135.8287221
0.472,120.5149815
0.48,141.8438464
0.488,164.7589591
0.496,187.8153975
0.504,201.8437689
0.512,198.5153398
0.52,190.0182428
0.528,177.2450948
0.536,156.2236641
0.544,125.4730225
0.552,98.97430964
0.56,106.161668
0.568,164.3727484
0.576,177.6053204
0.584,179.737203
0.592,206.3943802
0.6,243.7901292
0.608,268.5050329
0.616,293.813279
0.624,317.1605902
0.632,307.3652046
0.64,241.3993339
0.648,294.8562215
0.656,339.9878014
0.664,391.8948699
0.672,385.9741943
0.68,369.2196962
0.688,352.2170121
0.696,345.8961357
0.704,339.4871586
0.712,312.7912826
0.72,296.0855974
0.728,279.6671077
0.736,277.8266361
0.744,287.8213883
0.752,303.3628613
0.76,310.5179169
0.768,311.0032324
0.776,322.7403206
0.784,339.6684028
0.792,360.1504219
0.8,375.3640212
0.808,441.8082923
0.816,507.3120569
0.824,581.0008264
0.832,634.0240932
0.84,693.7502632
0.848,722.0682668
0.856,746.8719975
0.864,755.6432893
0.872,744.3567276
0.88,755.960632
0.888,760.4940393
0.896,755.7848567
0.904,734.0893763
0.912,715.9038897
0.92,693.2750886
0.928,653.7116683
0.936,624.750725
0.944,578.6976197
0.952,574.9775447
0.96,522.8415996
0.968,511.1367103
0.976,572.9828461
0.984,597.9715461
0.992,632.56669
1,667.4155686
1.008,687.6755662
1.016,701.1945133
1.024,730.3759995
1.032,734.8726504
1.04,772.1487276
1.048,791.408468
1.056,812.8934143
1.064,847.9802775
1.072,816.6421702
1.08,859.2494888
1.088,794.4974338
1.096,740.2334811
1.104,691.5768164
1.112,711.470568
1.12,746.846176
1.128,734.3325887
1.136,722.5775951
