Time,Angle
0.008,0.81165822
0.016,0.693353875
0.024,0.653898684
0.032,0.783079744
0.04,0.987197371
0.048,1.11825472
0.056,1.193901549
0.064,1.177705694
0.072,1.109035641
0.08,1.051279276
0.088,1.013369894
0.096,0.925872999
0.104,0.778105225
0.112,0.669103626
0.12,0.671404345
0.128,0.821412486
0.136,1.030468035
0.144,1.168200092
0.152,1.231448313
0.16,1.199163893
0.168,1.105352978
0.176,1.021140989
0.184,0.953729583
0.192,0.836656157
0.2,0.720369425
0.208,0.657961574
0.216,0.730778919
0.224,0.917350149
0.232,1.091174928
0.24,1.213580994
0.248,1.220918326
0.256,1.145834744
0.264,1.054637571
0.272,0.986468954
0.28,0.915814008
0.288,0.788740407
0.296,0.6924561
0.304,0.676682616
0.312,0.797808835
0.32,1.001301924
0.328,1.141026127
0.336,1.205250237
0.344,1.172407043
0.352,1.101845247
0.36,1.028082379
0.368,0.982585138
0.376,0.890309545
0.384,0.760902011
0.392,0.668705066
0.4,0.688308896
0.408,0.849117055
0.416,1.048609165
0.424,1.146415431
0.432,1.172294296
0.44,1.137881548
0.448,1.062534403
0.456,1.028593433
0.464,1.00153565
0.472,0.899208331
0.48,0.753849945
0.488,0.645935597
0.496,0.677709376
0.504,0.855252412
0.512,1.057834245
0.52,1.159982876
0.528,1.198277383
0.536,1.155279213
0.544,1.068115636
0.552,1.015060926
0.56,0.973778094
0.568,0.857233007
0.576,0.718694189
0.584,0.639273304
0.592,0.716248952
0.6,0.911684202
0.608,1.088414159
0.616,1.201432442
0.624,1.222890463
0.632,1.147577664
0.64,1.054128539
0.648,0.992148823
0.656,0.916384995
0.664,0.782798693
0.672,0.68295393
0.68,0.67033984
0.688,0.803597429
0.696,1.011427299
0.704,1.154883093
0.712,1.214328487
0.72,1.180296372
0.728,1.100833037
0.736,1.022432939
0.744,0.963819207
0.752,0.855120921
0.76,0.733935783
0.768,0.66329216
0.776,0.713256923
0.784,0.887893544
0.792,1.072352408
0.8,1.196219956
0.808,1.222856869
0.816,1.155053317
0.824,1.061964727
0.832,0.987756015
0.84,0.922153363
0.848,0.798914925
0.856,0.70187415
0.864,0.670617941
0.872,0.77708744
0.88,0.979379698
0.888,1.121989816
0.896,1.195587691
0.904,1.172623158
0.912,1.105085523
0.92,1.034403837
0.928,0.994644435
0.936,0.913128781
0.944,0.780632455
0.952,0.677021572
0.96,0.671733089
0.968,0.815054877
0.976,1.023651534
0.984,1.140687538
0.992,1.188060154
1,1.156312011
1.008,1.081119789
1.016,1.026606069
1.024,0.998078423
1.032,0.904067325
1.04,0.763213453
1.048,0.656435657
1.056,0.674706464
1.064,0.843341834
1.072,1.048145397
1.08,1.147678761
1.088,1.182146336
1.096,1.143175024
1.104,1.066503735
1.112,1.024256026
1.12,0.998866736
1.128,0.899346993
1.136,0.750793881
1.144,0.642522149
1.152,0.680235934
1.16,0.859721528
1.168,1.059017332
1.176,1.158480166
1.184,1.189019349
1.192,1.146965175
1.2,1.064585137
1.208,1.021680609
1.216,0.987104355
1.224,0.875578964
1.232,0.730190093
1.24,0.638601619
1.248,0.706626053
1.256,0.893772849
1.264,1.075097069
1.272,1.15970227
1.28,1.172923526
1.288,1.123185113
1.296,1.057453433
1.304,1.030281971
1.312,0.985352545
1.32,0.860040424
1.328,0.714861975
1.336,0.63457841
1.344,0.723562027
1.352,0.916580129
1.36,1.086244826
1.368,1.183630538
1.376,1.195745179
1.384,1.133824152
1.392,1.055232404
1.4,1.006937146
1.408,0.940973544
1.416,0.803872068
1.424,0.689314911
1.432,0.655139017
