Time,Angle
0.008,0.948640908
0.016,0.853035091
0.024,1.017381539
0.032,1.121594077
0.04,1.262129124
0.048,1.337106554
0.056,1.4882607
0.064,1.63491799
0.072,1.698139252
0.08,1.645251385
0.088,1.580410357
0.096,1.566874895
0.104,1.656844932
0.112,1.908803426
0.12,1.920120733
0.128,1.812783417
0.136,1.702665772
0.144,1.617689033
0.152,1.502044181
0.16,1.385679323
0.168,1.232895398
0.176,0.98712059
0.184,0.85220689
0.192,0.880207879
0.2,1.112992239
0.208,1.481985694
0.216,1.360404596
0.224,1.064505075
0.232,0.893781453
0.24,0.98506214
0.248,1.103781027
0.256,1.250514446
0.264,1.34364605
0.272,1.429730908
0.28,1.628019516
0.288,1.709581601
0.296,1.69293446
0.304,1.636327056
0.312,1.572479114
0.32,1.586352862
0.328,1.753808925
0.336,1.945617693
0.344,1.892937742
0.352,1.771078405
0.36,1.659169852
0.368,1.579698885
0.376,1.467699858
0.384,1.354733222
0.392,1.178803186
0.4,0.93257082
0.408,0.835228152
0.416,0.880940729
0.424,1.21937948
0.432,1.461419971
0.44,1.26104354
0.448,0.979981236
0.456,0.851824671
0.464,1.008242834
0.472,1.088969618
0.48,1.21486059
0.488,1.285851037
0.496,1.411109795
0.504,1.588643577
0.512,1.635991362
0.52,1.58940898
0.528,1.517585881
0.536,1.51813023
0.544,1.640155584
0.552,1.911370799
0.56,1.939376711
0.568,1.84068712
0.576,1.733708882
0.584,1.668832255
0.592,1.663617581
0.6,1.673688955
0.608,1.573800999
0.616,1.419256863
0.624,1.155478747
0.632,0.853156216
0.64,0.771952929
0.648,0.875017323
0.656,1.290227564
0.664,1.574831506
0.672,1.358117053
0.68,1.005982825
0.688,0.807241914
0.696,0.941666729
0.704,1.112447635
0.712,1.269856262
0.72,1.345661226
0.728,1.424637035
0.736,1.612878703
0.744,1.689213027
0.752,1.66095162
0.76,1.5841687
0.768,1.564383946
0.776,1.597588005
0.784,1.839025642
0.792,1.893155796
0.8,1.840022325
0.808,1.751992987
0.816,1.688885145
0.824,1.673472671
0.832,1.678489828
0.84,1.58289133
0.848,1.4931901
0.856,1.296071375
0.864,0.995580139
0.872,0.764883372
0.88,0.772274285
0.888,0.942783472
0.896,1.411527457
0.904,1.53262732
0.912,1.170458571
0.92,0.843540296
0.928,0.759239988
0.936,1.029296411
0.944,1.190388519
0.952,1.312266067
0.96,1.348584728
0.968,1.438647135
0.976,1.592312436
0.984,1.627178225
0.992,1.583742915
1,1.540415571
1.008,1.555054521
1.016,1.734766145
1.024,1.87791917
1.032,1.860326898
1.04,1.769368784
1.048,1.687921678
1.056,1.64774819
1.064,1.656551758
1.072,1.641012184
1.08,1.516595211
1.088,1.341081281
1.096,1.061291886
1.104,0.791445464
1.112,0.767381191
1.12,0.908438074
1.128,1.367864206
1.136,1.561769309
1.144,1.237549388
1.152,0.919271565
1.16,0.790377575
1.168,0.992615184
1.176,1.17447352
1.184,1.33591158
1.192,1.404379261
1.2,1.499033219
1.208,1.659397723
1.216,1.726854132
1.224,1.675702883
1.232,1.626086571
1.24,1.571986423
1.248,1.694620305
1.256,1.844063708
1.264,1.862208368
1.272,1.782637847
1.28,1.688662759
1.288,1.618717874
1.296,1.500186134
1.304,1.391122219
1.312,1.27149582
1.32,1.047535088
1.328,0.855670041
1.336,0.830092469
1.344,0.945123529
1.352,1.411388342
1.36,1.423304975
1.368,1.115471607
1.376,0.879058396
1.384,0.870017629
1.392,1.023253086
1.4,1.151735466
1.408,1.289327087
1.416,1.385623146
1.424,1.577360209
1.432,1.681712522
1.44,1.694479221
1.448,1.616763873
1.456,1.537340541
1.464,1.533913454
1.472,1.750613106
1.48,1.905454247
1.488,1.892333784
1.496,1.77786174
1.504,1.667659292
1.512,1.592062378
1.52,1.494045005
1.528,1.417880247
1.536,1.305759214
1.544,1.060914854
1.552,0.839335962
1.56,0.807482502
1.568,0.927190574
1.576,1.378733646
1.584,1.446461413
1.592,1.153104097
1.6,0.896391769
1.608,0.862036026
1.616,1.026573275
1.624,1.151156516
1.632,1.28188255
1.64,1.3640698
1.648,1.545680874
1.656,1.65150845
1.664,1.68303046
1.672,1.620860895
1.68,1.559203992
1.688,1.560197715
1.696,1.684946255
1.704,1.903193127
1.712,1.893783504
1.72,1.789280789
1.728,1.695831651
1.736,1.638922068
1.744,1.634957356
1.752,1.569228085
1.76,1.507169692
1.768,1.345652912
1.776,1.068510023
1.784,0.797779988
1.792,0.7581611
1.8,0.872997106
1.808,1.294257363
1.816,1.513925355
1.824,1.230348451
1.832,0.871386133
1.84,0.724514585
1.848,0.953894534
1.856,1.091364138
1.864,1.207070439
1.872,1.261634239
1.88,1.373995108
1.888,1.533732565
1.896,1.550419973
1.904,1.462128592
1.912,1.431033005
1.92,1.483366292
1.928,1.648983977
1.936,1.871324468
1.944,1.851884334
1.952,1.742426506
1.96,1.671839039
1.968,1.669083127
1.976,1.722281299
1.984,1.765398801
1.992,1.737782246
2,1.601843381
2.008,1.448166249
2.016,1.231933778
2.024,0.952212793
2.032,0.776233027
2.04,0.812697208
2.048,0.958820409
2.056,1.416567357
2.064,1.472533374
2.072,1.088890826
2.08,0.784203735
2.088,0.75487238
2.096,1.057161447
2.104,1.174528902
2.112,1.297905406
2.12,1.335729917
2.128,1.457862075
2.136,1.588548451
2.144,1.618081965
2.152,1.52272891
2.16,1.477792819
2.168,1.485884787
2.176,1.732793552
2.184,1.891574559
2.192,1.88162608
2.2,1.75828887
2.208,1.652849629
2.216,1.586142469
2.224,1.579774886
2.232,1.4992332
2.24,1.392910358
2.248,1.182259119
2.256,0.894363896
2.264,0.760427905
2.272,0.817882992
2.28,1.1313808
2.288,1.46663666
2.296,1.32454635
2.304,0.997893174
2.312,0.814804873
2.32,0.929361956
2.328,1.071854383
2.336,1.206942062
2.344,1.284916981
2.352,1.37105002
2.36,1.562782785
2.368,1.622709336
2.376,1.588426963
2.384,1.520736885
2.392,1.52401906
2.4,1.592722668
2.408,1.828556792
2.416,1.875305099
2.424,1.810491818
2.432,1.723273628
2.44,1.669709748
2.448,1.672656745
2.456,1.693362307
2.464,1.667479271
2.472,1.5315442
2.48,1.336765468
2.488,1.057219005
2.496,0.781941508
2.504,0.766905436
2.512,0.90115505
2.52,1.316805275
2.528,1.564788537
2.536,1.243371807
2.544,0.884880519
2.552,0.735584139
2.56,0.962945338
2.568,1.145567021
2.576,1.28687438
2.584,1.338496969
2.592,1.404894228
2.6,1.585690027
2.608,1.646470417
2.616,1.612417089
2.624,1.546656942
2.632,1.53410274
2.64,1.594066273
2.648,1.844734614
2.656,1.881950861
2.664,1.79427468
2.672,1.701114389
2.68,1.626732385
2.688,1.600479986
2.696,1.516475993
2.704,1.425670254
2.712,1.259726841
2.72,0.981694787
2.728,0.787196519
2.736,0.800366594
2.744,1.012241756
2.752,1.449790751
2.76,1.425836993
2.768,1.093831685
2.776,0.854220317
