Time,Angle
0.008,-47.04727799
0.016,-50.47144087
0.024,-49.0628206
0.032,-45.79529037
0.04,-42.87487148
0.048,-39.98345483
0.056,-39.50602666
0.064,-42.03939643
0.072,-44.11840299
0.08,-42.37788791
0.088,-41.52399327
0.096,-41.00392089
0.104,-38.07439929
0.112,-34.95755625
0.12,-35.34651135
0.128,-34.87055924
0.136,-33.14367616
0.144,-32.75753808
0.152,-32.070239
0.16,-28.5486316
0.168,-24.62677055
0.176,-21.52405968
0.184,-18.62960037
0.192,-14.37326696
0.2,-9.15861064
0.208,-2.250241165
0.216,5.613582522
0.224,15.00657154
0.232,26.06055048
0.24,37.60852801
0.248,17.32411876
0.256,30.95399528
0.264,39.54998651
0.272,45.98893921
0.28,58.00264766
0.288,84.29456028
0.296,114.2699365
0.304,133.1052369
0.312,138.7748867
0.32,131.158324
0.328,115.6696513
0.336,100.2272453
0.344,95.6750124
0.352,101.3715283
0.36,114.2847996
0.368,125.188739
0.376,130.9240804
0.384,129.7022386
0.392,123.4385538
0.4,116.4913023
0.408,114.9904017
0.416,120.6672576
0.424,127.5670439
0.432,134.3203344
0.44,136.9592013
0.448,135.4090259
0.456,131.3191699
0.464,129.9137321
0.472,129.9523285
0.48,133.4285104
0.488,137.346318
0.496,139.6076878
0.504,139.9993242
0.512,138.9565087
0.52,136.3890864
0.528,135.5576987
0.536,137.3523317
0.544,140.4884121
0.552,143.5983641
0.56,146.9442509
0.568,148.2313652
0.576,146.8313236
0.584,147.1116391
0.592,149.4156644
0.6,152.7901232
0.608,156.8451093
0.616,162.2168213
0.624,167.7602975
0.632,173.6047417
0.64,180.9932447
0.648,190.2200328
0.656,202.2865717
0.664,216.521356
0.672,134.3753131
0.68,199.1715736
0.688,219.7216219
0.696,230.7199587
0.704,254.690827
0.712,288.1758248
0.72,314.951209
0.728,324.6999452
0.736,317.9283523
0.744,300.3919218
0.752,282.1632373
0.76,274.4202895
0.768,279.5920217
0.776,290.7671773
0.784,303.3825292
0.792,312.6431225
0.8,315.3852806
0.808,310.7430312
